"ACWR.outcome","FEMI.outcome","HOMU.outcome","PLER.outcome","SACO.outcome","URLI.outcome"
0,0,0,0,0,0
0,2755.42687427732,0,0,0,0
0,2755.42687427732,0,0,0,0
0,3742.9676508044,0,0,0,0
0,2309.58830101005,0,486.446193048757,0,0
5487.54449852134,0,0,283.560254190435,0,0
0,0,0,2030.67844694714,0,0
2953.3891618733,0,0,0,8391.21142810233,0
0,2701.35187468275,0,0,4176.34574853526,0
2953.3891618733,0,0,0,8391.21142810233,0
0,0,0,0,5072.11153581888,0
0,0,0,387.177162777096,4877.09164380973,0
0,0,0,0,8614.48470697596,0
0,0,0,387.177162777096,4877.09164380973,0
5357.77775471681,0,0,0,0,3267.30581840922
0,3742.9676508044,0,0,0,0
0,0,720.933983618679,0,0,3494.1090391444
5357.77775471681,0,0,0,0,3267.30581840922
0,0,0,790.526527876695,0,3101.34032038135
0,3742.9676508044,0,0,0,0
0,3742.9676508044,0,0,0,0
10074.6028629558,0,0,0,0,69.2466660611801
0,3742.9676508044,0,0,0,0
0,0,0,0,8541.21650090317,177.448724115955
2953.3891618733,0,0,0,8391.21142810233,0
0,2701.35187468276,0,0,4176.34574853526,0
0,2701.35187468275,0,0,4176.34574853526,0
0,0,0,387.177162777096,4877.09164380973,0
0,0,0,387.177162777096,4877.09164380973,0
0,2701.35187468275,0,0,4176.34574853526,0
5976.62903988232,0,0,0,0,0
5487.54449852134,0,0,283.560254190435,0,0
