"ACWR.action","FEMI.action","HOMU.action","PLER.action","SACO.action","URLI.action","treatment.initial","ACWR.outcome","FEMI.outcome","HOMU.outcome","PLER.outcome","SACO.outcome","URLI.outcome","state_idx"
1,1,0,0,0,0,"wet",0,3742.9676508044,0,0,0,0,3
0,1,1,0,0,0,"wet",0,3742.9676508044,0,0,0,0,6
0,0,0,1,0,0,"wet",0,0,0,2030.67844694714,0,0,8
1,0,0,0,1,0,"dry",0,0,0,0,5072.11153581888,0,17
0,1,0,0,1,0,"dry",0,0,0,0,5072.11153581888,0,18
0,0,1,0,1,0,"wet",0,0,0,0,8614.48470697596,0,20
1,0,0,0,0,1,"dry",5357.77775471681,0,0,0,0,3267.30581840922,33
0,1,0,0,0,1,"wet",0,3742.9676508044,0,0,0,0,34
0,0,1,0,0,1,"dry",0,0,720.933983618679,0,0,3494.1090391444,36
0,0,0,1,0,1,"dry",0,0,0,790.526527876695,0,3101.34032038135,40
