"Ea.outcome","Pa.outcome","Pch.outcome","Pci.outcome","Pf.outcome","Pp.outcome","Pv.outcome","Sm.outcome"
0,0.06849,0,0,0,0,0,0
0,0.06647,0,0,0,0,0,0
0,0,0,0,0,0,0,0.14208
0,0,0,0,0,0,0,0.14385
0.0437924468085106,0,0.0889975531914894,0,0,0,0,0
0.0439822222222222,0,0.0920877777777778,0,0,0,0,0
0.0608336842105263,0,0,0,0.0595663157894737,0,0,0
0.0535505454545454,0,0,0,0.0691694545454545,0,0,0
0,0,0,0,0,0,0.10751,0
0,0,0,0,0,0,0.1019,0
0,0,0,0,0.0536313953488372,0,0,0.0781486046511628
0,0,0,0,0.0426584347826087,0,0,0.0936115652173913
0.0491467058823529,0,0,0.0312751764705882,0.0461681176470588,0,0,0
0.0537446341463415,0,0,0.0109682926829268,0.0701970731707317,0,0,0
0,0,0.0750339622641509,0,0,0,0.0906660377358491,0
0,0,0.0676042857142857,0,0.0146171428571429,0,0.0712585714285714,0
0,0,0,0.00217842857142857,0.0392117142857143,0,0.111099857142857,0
0,0,0,0,0.0689849438202247,0,0.0925850561797753,0
0,0,0,0,0.0339061333333333,0.0999338666666667,0,0
0,0,0,0,0.0410588372093023,0.0600090697674419,0.0347420930232558,0
