"Ea.outcome","Pa.outcome","Pch.outcome","Pci.outcome","Pf.outcome","Pp.outcome","Pv.outcome","Sm.outcome"
0,0,0.0819,0,0,0,0,0
0,0,0.07866,0,0,0,0,0
0,0,0,0.00335,0,0,0,0
0,0,0,0.00260999999999999,0,0,0,0
0,0,0,0,0.05925,0,0,0
0,0,0,0,0.06077,0,0,0
0,0,0,0,0,0.14184,0,0
0,0,0,0,0,0.13934,0,0
0,0,0.0998545454545,0,0,0,0.0511754545455,0
0,0,0.0998545454545,0,0,0,0.0511754545455,0
0,0,0.0656353125,0,0.0024309375,0,0.08751375,0
0,0,0.0809789041096,0,0.0017604109589,0.0264061643836,0.0193645205479,0
0,0,0.0750855319149,0,0,0,0.0853244680851,0
0,0,0.0817485714286,0,0,0,0.0675314285714,0
0,0,0.0994671232877,0,0,0,0.0776328767123,0
0,0,0.110089350649,0,0,0,0.0741906493506,0
0.0326616216216,0,0.132979459459,0,0.00699891891892,0,0,0
0.02984515625,0,0.07116921875,0,0.0321409375,0.0137746875,0,0
0,0,0.103753157895,0,0,0,0.0754568421053,0
0,0,0.0890947058824,0,0,0,0.0791952941176,0
