"Ea.outcome","Pa.outcome","Pch.outcome","Pci.outcome","Pf.outcome","Pp.outcome","Pv.outcome","Sm.outcome"
0.13418,0,0,0,0,0,0,0
0.13199,0,0,0,0,0,0,0
0,0,0.08185,0,0,0,0,0
0,0,0.07488,0,0,0,0,0
0,0,0,0.00378999999999999,0,0,0,0
0,0,0,0.00319999999999999,0,0,0,0
0,0,0,0,0.05858,0,0,0
0,0,0,0,0.06077,0,0,0
0,0,0,0,0,0.14085,0,0
0,0,0,0,0,0.14184,0,0
0,0,0.0804111235955,0,0,0,0.0546188764045,0
0,0,0.0998545454545,0,0,0,0.0511754545455,0
0.00433310344828,0,0,0,0.0671631034483,0.0519972413793,0.00216655172414,0
0.00938269230769,0,0,0,0.0201057692308,0.0750615384615,0,0
0,0,0.100977407407,0,0,0,0.0376525925926,0
0,0,0.0817485714286,0,0,0,0.0675314285714,0
0,0,0.0984025316456,0,0,0,0.0628101265823,0.00418734177215
0,0,0.101471282051,0,0,0,0.0705887179487,0
0,0,0.0994671232877,0,0,0,0.0776328767123,0
0,0,0.127191428571,0,0,0,0.0602485714286,0
