"Ea.action","Pa.action","Pch.action","Pci.action","Pf.action","Pp.action","Pv.action","Sm.action","environment.initial","Ea.outcome","Pa.outcome","Pch.outcome","Pci.outcome","Pf.outcome","Pp.outcome","Pv.outcome","Sm.outcome","state_idx"
1,0,0,0,0,0,0,0,0,0.13306,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0.13045,0,0,0,0,0,0,0,1
0,1,0,0,0,0,0,0,0,0,0.0711,0,0,0,0,0,0,2
0,1,0,0,0,0,0,0,0,0,0.06849,0,0,0,0,0,0,2
0,0,1,0,0,0,0,0,0,0,0,0.08185,0,0,0,0,0,4
0,0,1,0,0,0,0,0,0,0,0,0.07488,0,0,0,0,0,4
0,0,0,1,0,0,0,0,0,0,0,0,0.00493,0,0,0,0,8
0,0,0,1,0,0,0,0,0,0,0,0,0.00260999999999999,0,0,0,0,8
0,0,0,0,1,0,0,0,0,0,0,0,0,0.0602,0,0,0,16
0,0,0,0,1,0,0,0,0,0,0,0,0,0.05727,0,0,0,16
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.14085,0,0,32
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.13934,0,0,32
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.10739,0,64
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.11812,0,64
1,1,0,0,0,0,0,0,0,0.0435788571429,0.0950811428571,0,0,0,0,0,0,3
1,1,0,0,0,0,0,0,0,0.055836,0.130284,0,0,0,0,0,0,3
1,0,1,0,0,0,0,0,0,0.0437924468085106,0,0.0889975531914894,0,0,0,0,0,5
1,0,1,0,0,0,0,0,0,0.0439822222222222,0,0.0920877777777778,0,0,0,0,0,5
1,0,0,1,0,0,0,0,0,0.121701418439716,0,0,0.0481985815602837,0,0,0,0,9
1,0,0,1,0,0,0,0,0,0.103393333333333,0,0,0.0516966666666667,0,0,0,0,9
1,0,0,0,1,0,0,0,0,0.0535505454545454,0,0,0,0.0691694545454545,0,0,0,17
1,0,0,0,1,0,0,0,0,0.0608336842105263,0,0,0,0.0595663157894737,0,0,0,17
1,0,0,0,0,1,0,0,0,0.00236316666666667,0,0,0,0,0.139426833333333,0,0,33
1,0,0,0,0,1,0,0,0,0.00738848484848485,0,0,0,0,0.114521515151515,0,0,33
1,0,0,0,0,0,0,1,0,0.12793,0,0,0,0,0,0,0,129
1,0,0,0,0,0,0,1,0,0.120278796992481,0,0,0,0,0,0,0.000911203007518797,129
0,1,1,0,0,0,0,0,0,0,0,0.08931,0,0,0,0,0,6
0,1,1,0,0,0,0,0,0,0,0,0.0772,0,0,0,0,0,6
