,SimA,Paul,Hyd,AnB,Zap,Neb,Eug,WW,Ser,Vir,Stv,Pro,Merc,Bir,Quad,Rob,Pallid,Fun,Gib,Psd
SimA,,*,1,*,*,1,1,*,1,1,1,1,1,1,1,1,1,1,1,1
Paul,*,,0,1,*,1,1,1,1,*,*,1,1,1,1,1,1,1,1,1
Hyd,0,1,,*,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AnB,*,0,*,,1,*,*,1,*,1,1,1,1,1,*,1,1,1,1,1
Zap,*,*,1,0,,*,*,1,1,1,*,1,1,1,1,1,1,1,1,1
Neb,0,0,0,*,*,,*,1,*,1,0,*,1,*,*,1,1,1,1,1
Eug,0,0,0,*,*,*,,0,*,*,*,*,*,*,1,1,1,1,1,1
WW,*,0,0,0,0,0,1,,*,*,*,1,*,1,1,1,1,1,1,1
Ser,0,0,0,*,0,*,*,*,,*,*,*,1,1,*,1,1,1,1,1
Vir,0,*,0,0,0,0,*,*,*,,1,1,*,*,1,1,1,1,1,1
Stv,0,*,0,0,*,1,*,*,*,0,,1,*,*,0,1,1,1,1,1
Pro,0,0,0,0,0,*,*,0,*,0,0,,*,1,*,1,1,1,1,1
Merc,0,0,0,0,0,0,*,*,0,*,*,*,,*,1,1,1,1,1,1
Bir,0,0,0,0,0,*,*,0,0,*,*,0,*,,*,1,1,1,1,1
Quad,0,0,0,*,0,*,0,0,*,0,1,*,0,*,,1,1,1,1,1
Rob,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,*,1,1,1
Pallid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,,1,*,*
Fun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1
Gib,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0,,1
Psd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0,
