"ACRU.action","ACSA.action","BEAL.action","FAGR.action","TSCA.action","FRAM.action","PIST.action","PRSE.action","QURU.action","environment.initial","ACRU.outcome","ACSA.outcome","BEAL.outcome","FAGR.outcome","TSCA.outcome","FRAM.outcome","PIST.outcome","PRSE.outcome","QURU.outcome","state_idx"
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,307,256
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,231,16,384
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,177,94,384
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,279,103,384
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,242,0,0,64
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,206,0,0,64
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,94,216,0,192
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,135,163,0,192
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,200,167,0,192
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,141,0,160
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,195,0,160
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,32,0,193,0,160
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,293,0,0,96
0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,91,114,45,480
0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,91,156,8,480
0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,126,190,53,480
0,0,0,0,1,0,0,1,0,0,0,0,0,0,180,0,0,92,0,144
0,0,0,0,1,0,0,1,0,0,0,0,0,0,209,0,0,51,0,144
0,0,0,0,1,0,0,1,0,0,0,0,0,0,197,0,0,58,0,144
0,0,0,0,1,0,0,1,1,0,0,0,0,0,150,0,0,56,57,400
0,0,0,0,1,0,0,1,1,0,0,0,0,0,142,0,0,84,4,400
0,0,0,0,1,0,0,1,1,0,0,0,0,0,182,0,0,61,14,400
0,0,0,0,1,0,1,0,1,0,0,0,0,0,184,0,75,0,34,336
0,0,0,0,1,0,1,0,1,0,0,0,0,0,218,0,39,0,20,336
0,0,0,0,1,0,1,0,1,0,0,0,0,0,143,0,32,0,4,336
0,0,0,0,1,0,1,1,1,0,0,0,0,0,171,0,4,49,0,464
0,0,0,0,1,0,1,1,1,0,0,0,0,0,153,0,0,78,2,464
0,0,0,0,1,0,1,1,1,0,0,0,0,0,220,0,6,21,6,464
0,0,0,0,1,1,0,0,0,0,0,0,0,0,255,12,0,0,0,48
0,0,0,0,1,1,0,0,0,0,0,0,0,0,303,4,0,0,0,48
0,0,0,0,1,1,0,0,0,0,0,0,0,0,305,3,0,0,0,48
0,0,0,0,1,1,0,1,0,0,0,0,0,0,230,17,0,50,0,176
0,0,0,0,1,1,0,1,0,0,0,0,0,0,235,0,0,77,0,176
0,0,0,0,1,1,0,1,1,0,0,0,0,0,163,4,0,39,14,432
0,0,0,0,1,1,0,1,1,0,0,0,0,0,144,1,0,47,6,432
0,0,0,0,1,1,0,1,1,0,0,0,0,0,106,0,0,61,4,432
0,0,0,0,1,1,1,1,1,0,0,0,0,0,272,0,0,40,23,496
0,0,0,0,1,1,1,1,1,0,0,0,0,0,108,0,11,37,3,496
0,0,0,0,1,1,1,1,1,0,0,0,0,0,123,0,4,77,32,496
0,0,0,1,0,0,0,1,1,0,0,0,0,298,0,0,0,25,0,392
0,0,0,1,0,0,0,1,1,0,0,0,0,211,0,0,0,17,35,392
0,0,0,1,0,0,0,1,1,0,0,0,0,177,0,0,0,8,0,392
0,0,0,1,0,0,1,0,0,0,0,0,0,142,0,0,49,0,0,72
0,0,0,1,0,0,1,0,0,0,0,0,0,242,0,0,5,0,0,72
0,0,0,1,0,0,1,0,0,0,0,0,0,199,0,0,109,0,0,72
0,0,0,1,0,0,1,0,1,0,0,0,0,207,0,0,22,0,4,328
0,0,0,1,0,0,1,0,1,0,0,0,0,254,0,0,1,0,0,328
0,0,0,1,0,0,1,0,1,0,0,0,0,300,0,0,65,0,1,328
0,0,0,1,0,1,0,0,0,0,0,0,0,202,0,3,0,0,0,40
0,0,0,1,0,1,0,0,0,0,0,0,0,194,0,18,0,0,0,40
0,0,0,1,0,1,0,0,1,0,0,0,0,249,0,0,0,0,11,296
0,0,0,1,0,1,0,0,1,0,0,0,0,246,0,0,0,0,2,296
0,0,0,1,0,1,0,0,1,0,0,0,0,167,0,0,0,0,63,296
0,0,0,1,0,1,0,1,0,0,0,0,0,231,0,0,0,8,0,168
0,0,0,1,0,1,0,1,0,0,0,0,0,195,0,0,0,20,0,168
0,0,0,1,0,1,0,1,0,0,0,0,0,238,0,0,0,43,0,168
0,0,0,1,0,1,0,1,1,0,0,0,0,227,0,0,0,8,12,424
0,0,0,1,0,1,0,1,1,0,0,0,0,203,0,2,0,8,3,424
0,0,0,1,0,1,0,1,1,0,0,0,0,161,0,0,0,6,3,424
0,0,0,1,0,1,1,0,0,0,0,0,0,261,0,0,5,0,0,104
0,0,0,1,0,1,1,0,0,0,0,0,0,224,0,1,62,0,0,104
0,0,0,1,0,1,1,0,0,0,0,0,0,159,0,0,10,0,0,104
0,0,0,1,0,1,1,0,1,0,0,0,0,152,0,0,9,0,4,360
0,0,0,1,0,1,1,0,1,0,0,0,0,164,0,0,21,0,5,360
0,0,0,1,0,1,1,0,1,0,0,0,0,155,0,1,6,0,0,360
0,0,0,1,0,1,1,1,0,0,0,0,0,226,0,0,4,52,0,232
0,0,0,1,0,1,1,1,0,0,0,0,0,139,0,0,1,35,0,232
0,0,0,1,0,1,1,1,0,0,0,0,0,136,0,0,8,18,0,232
0,0,0,1,1,0,0,0,0,0,0,0,0,43,134,0,0,0,0,24
0,0,0,1,1,0,0,0,0,0,0,0,0,94,136,0,0,0,0,24
0,0,0,1,1,0,0,0,0,0,0,0,0,101,109,0,0,0,0,24
0,0,0,1,1,0,0,1,1,0,0,0,0,99,150,0,0,26,14,408
0,0,0,1,1,0,0,1,1,0,0,0,0,137,49,0,0,18,0,408
0,0,0,1,1,0,0,1,1,0,0,0,0,99,74,0,0,5,1,408
0,0,0,1,1,0,1,0,0,0,0,0,0,114,119,0,27,0,0,88
0,0,0,1,1,0,1,0,0,0,0,0,0,157,137,0,6,0,0,88
0,0,0,1,1,0,1,0,0,0,0,0,0,148,116,0,25,0,0,88
0,0,0,1,1,0,1,0,1,0,0,0,0,82,188,0,13,0,9,344
0,0,0,1,1,0,1,0,1,0,0,0,0,135,169,0,0,0,15,344
0,0,0,1,1,0,1,0,1,0,0,0,0,106,120,0,16,0,1,344
0,0,0,1,1,1,0,1,1,0,0,0,0,111,80,0,0,3,0,440
0,0,0,1,1,1,0,1,1,0,0,0,0,128,166,0,0,19,1,440
0,0,0,1,1,1,0,1,1,0,0,0,0,210,51,0,0,1,1,440
0,0,0,1,1,1,1,0,1,0,0,0,0,191,78,0,0,0,0,376
0,0,0,1,1,1,1,0,1,0,0,0,0,107,80,0,2,0,0,376
0,0,0,1,1,1,1,0,1,0,0,0,0,98,111,0,2,0,1,376
0,0,0,1,1,1,1,1,1,0,0,0,0,107,45,0,20,20,9,504
0,0,0,1,1,1,1,1,1,0,0,0,0,177,94,0,1,9,3,504
0,0,0,1,1,1,1,1,1,0,0,0,0,81,129,0,0,6,0,504
0,0,1,0,0,0,0,0,0,0,0,0,277,0,0,0,0,0,0,4
0,0,1,0,0,0,0,0,0,0,0,0,257,0,0,0,0,0,0,4
0,0,1,0,0,0,0,1,0,0,0,0,171,0,0,0,0,132,0,132
0,0,1,0,0,0,0,1,0,0,0,0,162,0,0,0,0,69,0,132
0,0,1,0,0,0,0,1,0,0,0,0,281,0,0,0,0,17,0,132
0,0,1,0,0,0,1,0,0,0,0,0,254,0,0,0,12,0,0,68
0,0,1,0,0,0,1,0,0,0,0,0,169,0,0,0,87,0,0,68
0,0,1,0,0,0,1,0,0,0,0,0,231,0,0,0,55,0,0,68
0,0,1,0,0,0,1,1,1,0,0,0,155,0,0,0,58,116,3,452
0,0,1,0,0,0,1,1,1,0,0,0,98,0,0,0,7,97,0,452
0,0,1,0,0,0,1,1,1,0,0,0,151,0,0,0,47,81,2,452
0,0,1,0,0,1,0,0,0,0,0,0,195,0,0,69,0,0,0,36
0,0,1,0,0,1,0,0,0,0,0,0,257,0,0,0,0,0,0,36
0,0,1,0,0,1,0,0,0,0,0,0,264,0,0,0,0,0,0,36
0,0,1,0,0,1,0,0,1,0,0,0,249,0,0,0,0,0,1,292
0,0,1,0,0,1,0,0,1,0,0,0,149,0,0,0,0,0,25,292
0,0,1,0,0,1,0,0,1,0,0,0,176,0,0,0,0,0,0,292
0,0,1,0,0,1,1,0,0,0,0,0,160,0,0,0,120,0,0,100
0,0,1,0,0,1,1,0,0,0,0,0,199,0,0,0,39,0,0,100
0,0,1,0,0,1,1,0,0,0,0,0,177,0,0,2,85,0,0,100
0,0,1,0,0,1,1,0,1,0,0,0,234,0,0,0,47,0,13,356
0,0,1,0,0,1,1,0,1,0,0,0,191,0,0,0,48,0,18,356
0,0,1,0,0,1,1,0,1,0,0,0,274,0,0,1,4,0,15,356
0,0,1,0,0,1,1,1,0,0,0,0,159,0,0,1,7,54,0,228
0,0,1,0,0,1,1,1,0,0,0,0,140,0,0,0,15,37,0,228
0,0,1,0,0,1,1,1,0,0,0,0,203,0,0,0,14,53,0,228
0,0,1,0,0,1,1,1,1,0,0,0,234,0,0,0,20,15,0,484
0,0,1,0,0,1,1,1,1,0,0,0,207,0,0,1,31,38,18,484
0,0,1,0,0,1,1,1,1,0,0,0,165,0,0,0,22,119,28,484
0,0,1,0,1,0,0,0,1,0,0,0,116,0,219,0,0,0,13,276
0,0,1,0,1,0,0,0,1,0,0,0,37,0,217,0,0,0,4,276
0,0,1,0,1,0,0,0,1,0,0,0,77,0,224,0,0,0,11,276
0,0,1,0,1,0,0,1,1,0,0,0,9,0,208,0,0,29,41,404
0,0,1,0,1,0,0,1,1,0,0,0,8,0,143,0,0,48,10,404
0,0,1,0,1,0,0,1,1,0,0,0,4,0,215,0,0,56,5,404
0,0,1,0,1,0,1,0,1,0,0,0,92,0,194,0,4,0,17,340
0,0,1,0,1,0,1,0,1,0,0,0,28,0,191,0,7,0,25,340
0,0,1,0,1,0,1,0,1,0,0,0,38,0,171,0,12,0,4,340
0,0,1,0,1,0,1,1,0,0,0,0,40,0,242,0,4,36,0,212
0,0,1,0,1,0,1,1,0,0,0,0,17,0,246,0,7,45,0,212
0,0,1,0,1,0,1,1,0,0,0,0,30,0,188,0,25,49,0,212
0,0,1,0,1,1,1,1,1,0,0,0,69,0,122,0,0,8,1,500
0,0,1,0,1,1,1,1,1,0,0,0,78,0,183,0,5,16,8,500
0,0,1,0,1,1,1,1,1,0,0,0,5,0,118,0,19,29,4,500
0,0,1,1,0,0,0,0,0,0,0,0,15,173,0,0,0,0,0,12
0,0,1,1,0,0,0,0,0,0,0,0,2,209,0,0,0,0,0,12
0,0,1,1,0,0,0,0,0,0,0,0,63,210,0,0,0,0,0,12
0,0,1,1,0,0,1,0,0,0,0,0,95,132,0,0,13,0,0,76
0,0,1,1,0,0,1,0,0,0,0,0,12,253,0,0,1,0,0,76
0,0,1,1,0,0,1,0,0,0,0,0,12,279,0,0,2,0,0,76
0,0,1,1,0,0,1,1,0,0,0,0,56,215,0,0,5,7,0,204
0,0,1,1,0,0,1,1,0,0,0,0,8,202,0,0,1,0,0,204
0,0,1,1,0,0,1,1,0,0,0,0,46,227,0,0,10,0,0,204
0,0,1,1,0,0,1,1,1,0,0,0,37,153,0,0,0,15,2,460
0,0,1,1,0,0,1,1,1,0,0,0,1,260,0,0,4,16,0,460
0,0,1,1,0,0,1,1,1,0,0,0,0,208,0,0,1,8,0,460
0,0,1,1,0,1,0,0,0,0,0,0,7,240,0,0,0,0,0,44
0,0,1,1,0,1,0,0,0,0,0,0,55,193,0,0,0,0,0,44
