"a.star","b.star","c.star","d.star","e.star","f.star","g.star","h.star","i.star","j.star","k.star","l.star","m.star","n.star","o.star","p.star","q.star","r.star"
0,0,0,0,0.69875,0,0,0,0,0,0,4.945,0,0,0,0,0,0
0.69875,0,0,114.31625,0,0,0,9.6,30.87875,4.945,0,0.69875,2.28375,0.69875,0,0,53.30125,30.87875
0,0,0,0,0,0,0,0,0,4.945,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.31625
4.945,0,0,53.30125,0.69875,0,0,0,30.87875,4.945,0,4.945,9.6,4.945,0,0,53.30125,30.87875
0,17.01875,0,0,0,0,4.945,0,0,2.28375,0,0,114.31625,0,0,0,0,0
4.945,0,0,0,0,0,2.28375,0,53.30125,0.69875,0,0,53.30125,0,0,0,53.30125,0
0,0,0,30.87875,0,0,2.28375,17.01875,0,2.28375,0,9.6,9.6,2.28375,0,0,114.31625,0
0.69875,0,0,0,0,0,0,30.87875,0,0,0,0,0,9.6,0,0,0,0
0,0,0,53.30125,0,0,4.945,0,0,0,0.69875,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,53.30125,0,0,0,114.31625,0
4.945,0,0,0,0,0,0,0,114.31625,0,0,17.01875,53.30125,0,0,0,114.31625,0
4.945,0,0,114.31625,2.28375,0,0,2.28375,17.01875,2.28375,0.69875,0,17.01875,0,0,0,9.6,9.6
2.28375,0,0,0,0,0.69875,2.28375,0,114.31625,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.69875,0.69875,17.01875,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,17.01875,0,0,0,0,0,0,0,0,0,0,0
2.28375,0,0,114.31625,0,0,0,53.30125,0,0,4.945,2.28375,0,4.945,0,0,0,0
0,0,0,17.01875,0,0,4.945,17.01875,9.6,0,0,0,17.01875,0,0,0,30.87875,17.01875
0,0.69875,0,0,0,0,53.30125,0,0,0,0,0,0,0,0,0,0,0
0,0,0,53.30125,0,0,9.6,9.6,17.01875,9.6,0,17.01875,9.6,0,0,0,30.87875,30.87875
0,0,0,30.87875,0,0,9.6,4.945,30.87875,0,0,0,30.87875,9.6,0,0,53.30125,4.945
0,0,0,114.31625,0,0,4.945,0,0,0,0,0,0,0,0,0,0,0
0.69875,0,0,0,0,0,17.01875,0,0,0,0.69875,0,30.87875,0,0,0,0,0
0,0,0,0,0,0,0,0,0,17.01875,0,0,0,0,0,0,0,0
2.28375,0,0,0,30.87875,0,0,2.28375,0,2.28375,9.6,2.28375,53.30125,0,0,0,53.30125,17.01875
0,0,0,0,0,0,0,0,0,17.01875,0,0,0,0,0,0,0,114.31625
0,0,0,0,0,0,0,0,114.31625,0,0,30.87875,0,0,0,0,0,0
0,0,0,30.87875,0,0,9.6,0,9.6,0,0,0,0,0,0,0,53.30125,30.87875
9.6,0,0,0,0,0,0.69875,0,9.6,0,4.945,17.01875,0,0,0,0,53.30125,0
0,0,0,0,0,0,0,0,0,0,0,0,114.31625,0,0,0,0,0
0.69875,0,0,0,0,0,0.69875,2.28375,0,30.87875,0,2.28375,17.01875,9.6,0,0,53.30125,114.31625
0,0,0,0,0,0,0,30.87875,114.31625,0,0,0,30.87875,0,0,0,0,0
0,0,0,0,0,0,0,0,0,17.01875,0,0,0,0,0,0,114.31625,0
0,0,0,0,0,0,0,17.01875,0,0,0,0,114.31625,0,0,0,0,53.30125
4.945,0,0,0,0,0,0.69875,30.87875,30.87875,17.01875,0,0,0,9.6,0,0,114.31625,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,53.30125,0,0,9.6,17.01875,0,0,0,0,0,2.28375,0,0,53.30125,0
0,0,0,114.31625,0,0,2.28375,4.945,0,4.945,0,0.69875,17.01875,9.6,0,0,30.87875,53.30125
0,0,0,0,0,0,0,0,0,0,0,0,53.30125,0,0,0,114.31625,0
0,0,0,114.31625,30.87875,0,0,17.01875,0,2.28375,0,2.28375,17.01875,17.01875,0,0,30.87875,114.31625
0,0,0,53.30125,0,0,0,0,0,0,0,0,53.30125,9.6,0,0,114.31625,0
0,0,0,0,0,0,0,0,0,0,0,17.01875,0,0,0,0,0,0
0,0,0,0,0,0,0,9.6,0,0,0,30.87875,0,0,0,0,0,0
2.28375,0,0,114.31625,0,0,0,0.69875,114.31625,4.945,0,2.28375,53.30125,4.945,0,0,9.6,17.01875
4.945,0,0,0,0,0,0,30.87875,9.6,0.69875,4.945,30.87875,30.87875,9.6,0,0,17.01875,53.30125
0,0,0,0,0,0,0,114.31625,0,0,0,0,0,0,0,0,114.31625,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.30125
4.945,0,0,9.6,0.69875,0,0,0,0,0,0,17.01875,0,0,0,0,30.87875,17.01875
0,0,0,0,0,0,0,53.30125,0,0,0,0,0,2.28375,0,0,114.31625,17.01875
0.69875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.30125,0
0,0,0,0,0,0,0,0,0,0,9.6,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2.28375,0,114.31625,0,0,0,0,0,0
0.69875,0,0,53.30125,2.28375,0,0.69875,53.30125,53.30125,0.69875,0,4.945,0,4.945,0,0,17.01875,53.30125
2.28375,53.30125,0,0,0,0,0.69875,0,114.31625,4.945,53.30125,0,0,30.87875,0,0,0,0
0,0,0,0,9.6,0,0,0,0,0,0,9.6,9.6,0,0,0,114.31625,0
0,0,0,0,0,0,2.28375,0,0,0,0,9.6,0,0,0,0,0,0
17.01875,0,0,0,0,0,4.945,114.31625,114.31625,4.945,0,0,0.69875,0,0,0,0,0
0,0,0,0,0,4.945,0,0,0,0,0,0,0,0.69875,0,0,0,0
2.28375,0,0,114.31625,4.945,0,0,4.945,0,2.28375,2.28375,0,30.87875,4.945,0,0,9.6,0
2.28375,0,0,114.31625,0,0,0.69875,17.01875,0,2.28375,0,0.69875,9.6,2.28375,0.69875,0,53.30125,53.30125
0,0,0,30.87875,0,0,0,0,53.30125,0,0,0,0,0,0,0,0,0
0.69875,0,0,114.31625,0,0,0,9.6,114.31625,0.69875,0,2.28375,17.01875,0,0,0,9.6,0
0,0,0,0,0,0,17.01875,0,0,0,0,0,0,0,0,0,0,0
0.69875,0,0,114.31625,0,0,0,17.01875,114.31625,0,9.6,0.69875,17.01875,4.945,0,0,4.945,0
