"a.star","b.star","c.star","d.star","e.star","f.star","g.star","h.star","i.star","j.star","k.star","l.star","m.star","n.star","o.star","p.star","q.star","r.star"
0,0,0,116.175,0,0,4.915,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,17.25,0,0,0,0,0,0,0,0
2.275,0,0,0,31.075,0,0,2.275,0,2.275,9.635,2.275,55.185,0,0,0,55.185,17.25
0,0,0,31.075,0,0,9.635,0,9.635,0,0,0,0,0,0,0,55.185,31.075
9.635,0,0,0,0,0,0.695,0,9.635,0,4.915,17.25,0,0,0,0,55.185,0
0,0,0,0,0,0,0,0,0,0,0,0,55.185,0,0,0,0,0
0.695,0,0,0,0,0,0.695,2.275,0,31.075,0,2.275,17.25,9.635,0,0,55.185,116.175
0,0,0,0,0,0,0,0,0,17.25,0,0,0,0,0,0,116.175,0
0,0,0,0,0,0,0,17.25,0,0,0,0,116.175,0,0,0,0,55.185
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,116.175,0,0,2.275,4.915,0,4.915,0,0.695,17.25,9.635,0,0,31.075,55.185
0,0,0,0,0,0,4.915,0,55.185,0,0,0,0,2.275,0,0,0,0
0.695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.175
0,0,0,116.175,31.075,0,0,17.25,0,2.275,0,2.275,17.25,17.25,0,0,17.25,116.175
0,0,0,55.185,0,0,0,0,0,0,0,0,55.185,9.635,0,0,116.175,0
0,0,0,0,0,0,0,0,0,17.25,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,9.635,0,0,0,31.075,0,0,0,0,0,0
4.915,0,0,116.175,0,0,0.695,2.275,0,0.695,0,0,31.075,4.915,0,0,17.25,31.075
0,0,0,55.185,0,0,0.695,0,116.175,4.915,2.275,0.695,17.25,4.915,0,4.915,31.075,31.075
2.275,0,0,116.175,0,0,0,0.695,116.175,4.915,0,2.275,55.185,4.915,0,0,9.635,17.25
9.635,0,0,0,0,0,0,31.075,9.635,0.695,4.915,31.075,31.075,9.635,0,0,17.25,55.185
0,0,0,0,0,0,0,116.175,0,0,0,0,0,0,0,0,116.175,0
0.695,0,0,31.075,0,0,0,0,0,0,0,0,17.25,0,0,0,116.175,17.25
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.185
4.915,0,0,9.635,0.695,0,0,0,0,0,0,17.25,0,0,0,0,31.075,17.25
0,0,0,0,0,0,0,31.075,0,0,0,0,0,2.275,0,0,116.175,17.25
0,0,0,0,0,0,0,0,0,0,9.635,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2.275,0,116.175,0,0,0,0,0,0
0.695,0,0,55.185,2.275,0,0.695,55.185,55.185,0.695,0,4.915,0,4.915,0,0,17.25,55.185
0,0,0,0,9.635,0,0,0,0,0,0,9.635,9.635,0,0,0,116.175,0
17.25,0,0,0,0,0,4.915,116.175,116.175,4.915,0,0,0.695,0,0,0,0,0
0,0,0,0,0,4.915,0,0,0,0,0,0,0,0.695,0,0,0,0
0,0,0,0,0,0,17.25,0,0,0,0,31.075,55.185,0,0,0,0,0
2.275,0,0,116.175,4.915,0,0,4.915,0,2.275,2.275,0,31.075,4.915,0,0,9.635,0
2.275,0,0,116.175,0,0,0.695,17.25,0,2.275,0,0.695,9.635,2.275,0.695,0,55.185,55.185
0,0,0,31.075,0,0,0,0,55.185,0,0,0,0,0,0,0,0,0
0.695,0,0,116.175,0,0,0,9.635,55.185,0.695,0,2.275,17.25,0,0,0,9.635,0
0,0,0,0,0,0,17.25,0,0,0,0,0,0,0,0,0,0,0
2.275,0,0,116.175,0,0,0.695,9.635,31.075,17.25,9.635,0.695,0,0,0,0,17.25,116.175
0.695,0,0,116.175,0,0,0,17.25,116.175,0,9.635,0.695,17.25,4.915,0,0,4.915,0
