"Bar.action","undLac.action","uncLac.action","Oth.action","Bla.action","undMol.action","Akk.action","Cop.action","Clodif.action","Ent.action","undEnt.action","environment.initial","Bar.outcome","undLac.outcome","uncLac.outcome","Oth.outcome","Bla.outcome","undMol.outcome","Akk.outcome","Cop.outcome","Clodif.outcome","Ent.outcome","undEnt.outcome","state_idx"
0,1,0,0,0,0,0,0,0,0,0,0,0,2.95766993993707,0,0,0,0,0,0,0,0,0,2
1,1,0,0,0,0,0,0,0,0,0,0,3.75682052932352,6.4819680278804,0,0,0,0,0,0,0,0,0,3
0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.50423145050186,0,0,0,0,0,0,0,0,4
0,1,1,0,0,0,0,0,0,0,0,0,0,0,3.50423145050186,0,0,0,0,0,0,0,0,6
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.649696240601505,0,0,0,0,0,0,0,8
1,0,0,1,0,0,0,0,0,0,0,0,2.05840496549528,0,0,0.24207634120881,0,0,0,0,0,0,0,9
1,1,0,1,0,0,0,0,0,0,0,0,3.75682052932352,6.4819680278804,0,0,0,0,0,0,0,0,0,11
0,1,1,1,0,0,0,0,0,0,0,0,0,0,3.50450545882355,0.0606863667341501,0,0,0,0,0,0,0,14
1,0,0,0,1,0,0,0,0,0,0,0,1.11328578973297,0,0,0,0.775245822482141,0,0,0,0,0,0,17
0,1,0,0,1,0,0,0,0,0,0,0,0,2.83467550777228,0,0,0.251670587576603,0,0,0,0,0,0,18
0,0,1,0,1,0,0,0,0,0,0,0,0,0,3.50414098763227,0,0.182760175104084,0,0,0,0,0,0,20
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.596733784094663,0.812090348471046,0,0,0,0,0,0,24
0,1,0,1,1,0,0,0,0,0,0,0,0,2.97610741323815,0,0.0837181991099868,0.187863839342068,0,0,0,0,0,0,26
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.11351914068045,0,0,0,0,0,32
1,1,0,0,0,1,0,0,0,0,0,0,2.37211935556954,4.64302289696155,0,0,0,1.52204054520382,0,0,0,0,0,35
0,0,1,0,0,1,0,0,0,0,0,0,0,0,2.99696410222578,0,0,1.21031457190054,0,0,0,0,0,36
0,1,0,1,0,1,0,0,0,0,0,0,0,2.73754791120529,0,0.209369608941227,0,1.39771092923218,0,0,0,0,0,42
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1.43148872821817,1.16837944073174,0,0,0,0,0,48
0,1,0,0,1,1,0,0,0,0,0,0,0,2.04821804239536,0,0,0.93161674630575,1.28021509005027,0,0,0,0,0,50
0,0,1,0,1,1,0,0,0,0,0,0,0,0,2.98453181705834,0,0.761027374919087,1.23907860988407,0,0,0,0,0,52
0,1,1,0,1,1,0,0,0,0,0,0,0,0,2.98453181705834,0,0.761027374919087,1.23907860988407,0,0,0,0,0,54
1,0,0,1,1,1,0,0,0,0,0,0,0.47175439271301,0,0,0.545686386810408,1.27451191721648,1.46893917933878,0,0,0,0,0,57
0,1,0,1,1,1,0,0,0,0,0,0,0,2.35098508920747,0,0.228047666631479,0.829127899776424,1.41449806273568,0,0,0,0,0,58
1,1,0,1,1,1,0,0,0,0,0,0,2.37211935556954,4.64302289696155,0,0,0,1.52204054520382,0,0,0,0,0,59
0,0,1,1,1,1,0,0,0,0,0,0,0,0,2.94869453739773,0.170837263001766,0.747654518719693,1.32644078206037,0,0,0,0,0,60
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.189458924447378,0,0,0,0,64
1,0,0,0,0,0,1,0,0,0,0,0,1.79406317020861,0,0,0,0,0,0,0,0,0,0,65
0,1,0,0,0,0,1,0,0,0,0,0,0,2.95766993993707,0,0,0,0,0,0,0,0,0,66
1,1,0,0,0,0,1,0,0,0,0,0,3.75682052932352,6.4819680278804,0,0,0,0,0,0,0,0,0,67
0,1,1,0,0,0,1,0,0,0,0,0,0,0,3.50423145050186,0,0,0,0,0,0,0,0,70
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.68348047141304,0,0,0.0737283850409254,0,0,0,0,72
1,1,0,1,0,0,1,0,0,0,0,0,3.75682052932352,6.4819680278804,0,0,0,0,0,0,0,0,0,75
0,1,1,1,0,0,1,0,0,0,0,0,0,0,3.50450545882355,0.0606863667341501,0,0,0,0,0,0,0,78
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1.00056450930029,0,0,0,0,0,0,80
0,1,0,0,1,0,1,0,0,0,0,0,0,2.83467550777228,0,0,0.251670587576603,0,0,0,0,0,0,82
1,1,0,0,1,0,1,0,0,0,0,0,3.75682052932352,6.4819680278804,0,0,0,0,0,0,0,0,0,83
0,0,1,0,1,0,1,0,0,0,0,0,0,0,3.50414098763227,0,0.182760175104084,0,0,0,0,0,0,84
0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0.596733784094663,0.812090348471048,0,0,0,0,0,0,88
1,0,0,1,1,0,1,0,0,0,0,0,1.60319618456643,0,0,0.294186773143698,0.583175696945677,0,0,0,0,0,0,89
0,1,0,1,1,0,1,0,0,0,0,0,0,2.97610741323815,0,0.0837181991099868,0.187863839342068,0,0,0,0,0,0,90
1,1,0,0,0,1,1,0,0,0,0,0,2.37211935556954,4.64302289696155,0,0,0,1.52204054520382,0,0,0,0,0,99
0,1,1,0,0,1,1,0,0,0,0,0,0,0,2.99696410222578,0,0,1.21031457190054,0,0,0,0,0,102
1,0,0,1,0,1,1,0,0,0,0,0,1.49259291114385,0,0,0.423467333286121,0,1.4044181828642,0,0,0,0,0,105
0,0,1,1,0,1,1,0,0,0,0,0,0,0,2.9507252952791,0.219086086563431,0,1.32299825697531,0,0,0,0,0,108
1,0,0,0,1,1,1,0,0,0,0,0,1.75041015147805e-10,0,0,0,1.43148872818476,1.16837944073899,0,0,0,0,0,113
0,1,0,0,1,1,1,0,0,0,0,0,0,2.04821804239536,0,0,0.93161674630575,1.28021509005027,0,0,0,0,0,114
0,0,1,0,1,1,1,0,0,0,0,0,0,0,2.98453181705834,0,0.761027374919087,1.23907860988407,0,0,0,0,0,116
0,1,1,0,1,1,1,0,0,0,0,0,0,0,2.98453181705834,0,0.761027374919087,1.23907860988407,0,0,0,0,0,118
