"Bar.outcome","undLac.outcome","uncLac.outcome","Oth.outcome","Bla.outcome","undMol.outcome","Akk.outcome","Cop.outcome","Clodif.outcome","Ent.outcome","undEnt.outcome"
1.35672340246643,0,0,0,0,0,0,0,0,2.11653378900043,0
0,0,0,0.60958055291358,0,1.35672340246643,0,0,0,0.60958055291358,0
0,0,0,0,0.60958055291358,1.35672340246643,0,0,0,2.11653378900043,0
0,0,0,0.60958055291358,0,0,0.229347306943847,0,0,2.11653378900043,0
0,0,0,0,0,1.07268223730214,0.0834854223202112,0,0,1.07268223730214,0
1.35672340246643,0,0,0,0,0,0,0,0,2.11653378900043,0
0,0,3.285413831992,0,0,0,0,0,0,1.35672340246643,0
0,0,0,0.60958055291358,0,0,0,0,0,1.35672340246643,0
0,0,0,0,0.229347306943847,0,0,0,0,2.11653378900043,0
0,0,0,0,0,1.07268223730214,0,0,0,1.07268223730214,0
0,0,0,0,0,0,0.229347306943847,0,0,2.11653378900043,0
0,0,0,0,0,0,0,0,8.57683758351236,2.11653378900043,0
0,0,0,0,0,0,0,0,8.57683758351236,2.11653378900043,0
0,0,0,0,0,0,0,0,8.57683758351236,2.11653378900043,0
2.11653378900043,0,0,0,0,0,0,0,0,0,0
0,3.285413831992,0,0,0,0,0,0,0,0,0
0,0,0,0.60958055291358,0,0,0,0,0,0,0.229347306943847
0,0,0,0,1.07268223730214,0,0,0,0,0,1.07268223730214
0,3.285413831992,0,0,0.229347306943847,0,0,0,0,0,0
0,0,0,0,0,1.07268223730214,0,0,0,0,0.0834854223202112
0,0,0,0,1.35672340246643,1.07268223730214,0,0,0,0,0.60958055291358
0,0,0,0,0,0,0.0834854223202112,0,0,0,0.60958055291358
0,3.285413831992,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1.07268223730214,0.0834854223202112,0,0,0,0.0834854223202112
0,3.285413831992,0,0,0,0,0,0,0,0,0
0,0,0,0,1.07268223730214,0,0,0.229347306943847,0,0,1.07268223730214
0,0,0,0,0,1.07268223730214,0,0.0834854223202112,0,0,0.0834854223202112
0,0,0,0,0,0,0,0.0834854223202112,0,0,0.60958055291358
0,0.60958055291358,0,0,0,0,0,0,8.57683758351236,0,0.60958055291358
0,0,0.0834854223202112,0,0,0,0,0,8.57683758351236,0,0.60958055291358
0,0,0,0,0,0,0,0,0,1.35672340246643,0.60958055291358
0,0,0,0,0,0,0,0,0,1.35672340246643,0.60958055291358
0,2.11653378900043,0,0,0,0,0,0,0,2.11653378900043,0
0,0,3.285413831992,0,0,0,0,0,0,1.35672340246643,0
0,0,0,0.60958055291358,0,0,0,0,0,1.35672340246643,0.60958055291358
0,0,0,0,0,1.07268223730214,0,0,0,1.07268223730214,0.0834854223202112
0,0,0,0,0,0,0.0834854223202112,0,0,1.35672340246643,0.60958055291358
0,0,0,0,0,0,0,0,0,1.35672340246643,0.60958055291358
