"Achmi.outcome","Agrsm.outcome","Amocan.outcome","Andge.outcome","Asctu.outcome","Elyca.outcome","Koecr.outcome","Lesca.outcome","Liaas.outcome","Luppe.outcome","Monfi.outcome","Panvi.outcome","Petpu.outcome","Poapr.outcome","Queel.outcome","Quema.outcome","Schsc.outcome","Sornu.outcome"
0,0,0,0,0,0,0,0,0,17.685625,0,0,0,0,0,0,0,0
2.05875,0,0,0,32.811875,0,0,2.05875,0,2.05875,9.7675,4.735,57.583125,0,0,0,57.583125,17.685625
0,0,0,0,0,0,0,0,0,0,0,0,57.583125,0,0,0,0,0
0.64375,0,0,0,0,0,0.64375,2.05875,0,32.811875,0,2.05875,17.685625,9.7675,0,0,57.583125,117.124375
0,0,0,0,0,0,0,17.685625,117.124375,0,0,0,32.811875,0,0,0,0,0
0,0,0,0,0,0,0,0,0,17.685625,0,0,0,0,0,0,117.124375,0
0,0,0,0,0,0,0,17.685625,0,0,0,0,117.124375,0,0,0,0,57.583125
4.735,0,0,0,0,0,0.64375,32.811875,32.811875,17.685625,0,0,0,9.7675,0,0,117.124375,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,57.583125,0,0,9.7675,9.7675,0,0,0,0,0,2.05875,0,0,57.583125,0
0,0,0,117.124375,0,0,2.05875,4.735,0,4.735,0,2.05875,17.685625,9.7675,0,0,17.685625,57.583125
0,0,0,0,0,0,4.735,0,57.583125,0,0,0,0,2.05875,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,57.583125,0,0,0,117.124375,0
0,0,0,117.124375,32.811875,0,0,17.685625,0,2.05875,0,2.05875,17.685625,17.685625,0,0,17.685625,117.124375
0,0,0,57.583125,0,0,0,0,0,0,0,0,57.583125,9.7675,0,0,117.124375,0
0,0,0,0,0,0,0,0,0,0,0,17.685625,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.64375,0,0,0,0
4.735,0,0,117.124375,0,0,0.64375,2.05875,0,0.64375,0,0,32.811875,4.735,0,0,17.685625,32.811875
0,0,0,0,0,0,0,117.124375,0,0,0,0,0,0,0,0,117.124375,0
0.64375,0,0,32.811875,0,0,0,0,0,0,0,0,17.685625,0,0,0,117.124375,17.685625
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.583125
4.735,0,0,9.7675,0.64375,0,0,0,0,0,0,17.685625,0,0,0,0,32.811875,17.685625
0,0,0,0,0,0,0,32.811875,0,0,0,0,0,4.735,0,0,57.583125,17.685625
2.05875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.583125,0
0,0,0,0,0,0,0,0,0,0,9.7675,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2.05875,0,117.124375,0,0,0,0,0,0
0,0,0,0,9.7675,0,0,0,0,0,0,9.7675,9.7675,0,0,0,117.124375,0
0,0,0,0,0,0,2.05875,0,0,0,0,9.7675,0,0,0,0,0,0
17.685625,0,0,0,0,0,4.735,117.124375,117.124375,4.735,0,0,0.64375,0,0,0,0,0
0,0,0,0,0,4.735,0,0,0,0,0,0,0,0.64375,0,0,0,0
0,0,0,0,0,0,17.685625,0,0,0,0,32.811875,57.583125,0,0,0,0,0
2.05875,0,0,117.124375,4.735,0,0,4.735,0,2.05875,2.05875,0,32.811875,4.735,0,0,9.7675,0
2.05875,0,0,117.124375,0,0,0.64375,17.685625,0,2.05875,0,0.64375,9.7675,2.05875,0.64375,0,57.583125,57.583125
0.64375,0,0,117.124375,0,0,0,9.7675,57.583125,2.05875,0,2.05875,17.685625,0,0,0,9.7675,0
0,0,0,0,0,0,17.685625,0,0,0,0,0,0,0,0,0,0,0
2.05875,0,0,117.124375,0,0,0.64375,9.7675,32.811875,9.7675,9.7675,0.64375,0,0,0,0,9.7675,117.124375
0.64375,0,0,117.124375,0,0,0,17.685625,117.124375,0,9.7675,0.64375,17.685625,4.735,0,0,4.735,0
0,0,0,0,0,0,0,0,0,4.735,117.124375,0,0,0,0,0,0,0
