"Achmi.outcome","Agrsm.outcome","Amocan.outcome","Andge.outcome","Asctu.outcome","Elyca.outcome","Koecr.outcome","Lesca.outcome","Liaas.outcome","Luppe.outcome","Monfi.outcome","Panvi.outcome","Petpu.outcome","Poapr.outcome","Queel.outcome","Quema.outcome","Schsc.outcome","Sornu.outcome"
0,0,0,0,0,0,0,0,0,9.8575,17.6875,0,0,0,0,0,0,114.5875
5.0875,0,0,0,0.635,0,0,9.8575,30.9575,9.8575,2.255,9.8575,30.9575,9.8575,0,0,17.6875,114.5875
0,0,0,0,0.635,0,9.8575,0,0,0,0,0,0,0,0,0,0,53.1325
0,0,0,0,0.635,0,0,0,0,0,0,5.0875,0,0,0,0,0,0
0.635,0,0,0,0,0,0,30.9575,17.6875,0,0,0,17.6875,0.635,0,0,114.5875,0
2.255,0,0,114.5875,0,0,0,9.8575,30.9575,5.0875,0,0.635,2.255,2.255,0,0,53.1325,30.9575
0,0,0,0,0,0,0,0,0,9.8575,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.5875
5.0875,0,0,53.1325,0.635,0,0,0,30.9575,5.0875,0,5.0875,9.8575,5.0875,0,0,53.1325,30.9575
0,17.6875,0,0,0,0,5.0875,0,0,2.255,0,0,114.5875,0,0,0,0,0
5.0875,0,0,0,0,0,2.255,0,53.1325,0.635,0,0,53.1325,0,0,0,53.1325,0
5.0875,0,0,114.5875,0,0,0,0,114.5875,2.255,0.635,2.255,5.0875,5.0875,0,0,30.9575,53.1325
0,0,0,0,0,2.255,0,53.1325,0,2.255,0,114.5875,0,0,0,0,0,0
0.635,0,0,0,0,0,0,30.9575,0,0,0,0,0,9.8575,0,0,0,0
0,0,0,53.1325,0,0,5.0875,0,0,0,0.635,0,0,0,0,0,0,0
0.635,0,0,114.5875,0,0,9.8575,0,0,0,0,0,17.6875,0,0,0,0,0
5.0875,0,0,0,0,0,0,0,114.5875,0,0,17.6875,53.1325,0,0,0,114.5875,0
0,0,0,0,0,0,0,17.6875,0,0,0,0,0,0,0,0,53.1325,0
2.255,0,0,0,0,0.635,2.255,0,114.5875,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.635,0.635,17.6875,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,30.9575,0,0,0,0,0,0,0,0,0,0,0
2.255,0,0,114.5875,0,0,0,53.1325,0,0,5.0875,2.255,0,5.0875,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.5875
0,0,0,17.6875,0,0,5.0875,17.6875,9.8575,0,0,0,17.6875,0,0,0,53.1325,17.6875
0,0.635,0,0,0,0,53.1325,0,0,0,0,0,0,0,0,0,0,0
0,0,0,53.1325,0,0,9.8575,9.8575,17.6875,9.8575,0,17.6875,9.8575,0,0,0,30.9575,30.9575
0,0,0,30.9575,0,0,9.8575,5.0875,30.9575,0,0,0,30.9575,9.8575,0,0,53.1325,5.0875
0,0,0,0,0,0,0,0,0,0,0,0,0,0.635,0,0,0,53.1325
0,0,0,114.5875,0,0,5.0875,0,0,0,0,0,0,0,0,0,0,0
0.635,0,0,0,0,0,17.6875,0,0,0,0.635,0,30.9575,0,0,0,0,0
0,0,0,0,0,0,0,0,0,17.6875,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,17.6875,0,0,0,0,0,0,0,114.5875
0,0,0,0,0,0,0,0,114.5875,0,0,30.9575,0,0,0,0,0,0
0,0,0,30.9575,0,0,9.8575,0,9.8575,0,0,0,0,0,0,0,53.1325,30.9575
9.8575,0,0,0,0,0,0.635,0,9.8575,0,5.0875,17.6875,0,0,0,0,53.1325,0
0,0,0,0,0,0,0,0,0,0,0,0,114.5875,0,0,0,0,0
0.635,0,0,0,0,0,0.635,2.255,0,30.9575,0,2.255,17.6875,9.8575,0,0,53.1325,114.5875
0,0,0,0,0,0,0,0,0,17.6875,0,0,0,0,0,0,114.5875,0
0,0,0,0,0,0,0,17.6875,0,0,0,0,114.5875,0,0,0,0,53.1325
2.255,0,0,0,0,0,0.635,30.9575,30.9575,17.6875,0,0,0,9.8575,0,0,114.5875,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,53.1325,0,0,9.8575,17.6875,0,0,0,0,0,2.255,0,0,53.1325,0
0,0,0,114.5875,0,0,2.255,5.0875,0,5.0875,0,2.255,17.6875,9.8575,0,0,17.6875,53.1325
0.635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.5875
0,0,0,0,0,0,0,0,0,0,0,0,53.1325,0,0,0,114.5875,0
0,0,0,114.5875,0,0,0.635,30.9575,17.6875,2.255,5.0875,0.635,30.9575,9.8575,0,0,17.6875,30.9575
0,0,0,0,0,0,0,0,0,0,0,17.6875,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,17.6875,0,0,0,0,0,0,0,0
5.0875,0,0,114.5875,0,0,0.635,2.255,0,0.635,0,0,30.9575,5.0875,0,0,17.6875,30.9575
2.255,0,0,114.5875,0,0,0,0.635,114.5875,5.0875,0,2.255,53.1325,5.0875,0,0,9.8575,17.6875
5.0875,0,0,0,0,0,0,30.9575,9.8575,0.635,5.0875,30.9575,30.9575,9.8575,0,0,17.6875,53.1325
0.635,0,0,53.1325,0,0,0,0,0,0,0,0,17.6875,0,0,0,114.5875,17.6875
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.1325
5.0875,0,0,9.8575,0.635,0,0,0,0,0,0,17.6875,0,0,0,0,30.9575,17.6875
2.255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.1325,0
0,0,0,0,0,0,0,0,0,0,2.255,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2.255,0,114.5875,0,0,0,0,0,0
0.635,0,0,53.1325,2.255,0,0.635,53.1325,53.1325,0.635,0,5.0875,0,5.0875,0,0,17.6875,53.1325
0,0,0,0,0,0,0,0,30.9575,0.635,0,0,0,0,0,0,0,0
2.255,53.1325,0,0,0,0,0.635,0,114.5875,5.0875,53.1325,0,0,17.6875,0,0,0,0
0,0,0,0,0,5.0875,0,0,0,0,0,0,0,0.635,0,0,0,0
0,0,0,0,0,0,17.6875,0,0,0,0,30.9575,53.1325,0,0,0,0,0
2.255,0,0,114.5875,5.0875,0,0,5.0875,0,2.255,2.255,0,30.9575,5.0875,0,0,9.8575,0
0.635,0,0,114.5875,0,0,0,9.8575,114.5875,2.255,0,2.255,17.6875,0,0,0,9.8575,0
2.255,0,0,114.5875,0,0,0.635,9.8575,30.9575,9.8575,9.8575,0.635,0,0,0,0,9.8575,114.5875
0,0,0,0,0,0,0,0,0,5.0875,114.5875,0,0,0,0,0,0,0
