"Achmi.outcome","Agrsm.outcome","Amocan.outcome","Andge.outcome","Asctu.outcome","Elyca.outcome","Koecr.outcome","Lesca.outcome","Liaas.outcome","Luppe.outcome","Monfi.outcome","Panvi.outcome","Petpu.outcome","Poapr.outcome","Queel.outcome","Quema.outcome","Schsc.outcome","Sornu.outcome"
0,0,0,0,0,0.6,0.6,16.7925,0,0,0,0,0,0,0,0,0,0
2.1575,0,0,117.6675,0,0,0,55.76,0,0,4.668125,2.1575,0,9.230625,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.6675
0,0,0,16.7925,0,0,9.230625,16.7925,9.230625,0,0,0,16.7925,0,0,0,55.76,16.7925
0,0,0,0,0,0,29.88,0,0,0,0,0,0,0,0,0,0,0
0,0,0,55.76,0,0,9.230625,9.230625,16.7925,9.230625,0,16.7925,9.230625,0,0,0,29.88,29.88
0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,55.76
0,0,0,117.6675,0,0,4.668125,0,0,0,0,0,0,0,0,0,0,0
0.6,0,0,0,0,0,16.7925,0,0,0,0.6,0,29.88,0,0,0,0,0
0,0,0,0,0,0,0,0,0,16.7925,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,16.7925,0,0,0,0,0,0,0,117.6675
0,0,0,0,0,0,0,0,117.6675,0,0,29.88,0,0,0,0,0,0
0,0,0,29.88,0,0,9.230625,0,9.230625,0,0,0,0,0,0,0,55.76,29.88
9.230625,0,0,0,0,0,0.6,0,9.230625,0,4.668125,16.7925,0,0,0,0,55.76,0
0.6,0,0,0,0,0,0.6,2.1575,0,29.88,0,2.1575,16.7925,9.230625,0,0,55.76,117.6675
0,0,0,0,0,0,0,29.88,117.6675,0,0,0,29.88,0,0,0,0,0
0,0,0,0,0,0,0,0,0,16.7925,0,0,0,0,0,0,117.6675,0
4.668125,0,0,0,0,0,0.6,29.88,29.88,16.7925,0,0,0,9.230625,0,0,117.6675,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,55.76,0,0,9.230625,16.7925,0,0,0,0,0,2.1575,0,0,55.76,0
0,0,0,117.6675,0,0,2.1575,4.668125,0,4.668125,0,2.1575,16.7925,9.230625,0,0,29.88,55.76
0,0,0,0,0,0,4.668125,0,55.76,0,0,0,0,2.1575,0,0,0,0
0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.6675
0,0,0,0,0,0,0,0,0,0,0,0,55.76,0,0,0,117.6675,0
0,0,0,117.6675,29.88,0,0,16.7925,0,2.1575,0,2.1575,16.7925,16.7925,0,0,29.88,117.6675
0,0,0,0,0,0,0,0,0,16.7925,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0
4.668125,0,0,117.6675,0,0,0.6,2.1575,0,0.6,0,0,29.88,4.668125,0,0,29.88,29.88
0,0,0,55.76,0,0,0.6,0,55.76,9.230625,2.1575,0.6,16.7925,4.668125,0,4.668125,29.88,29.88
9.230625,0,0,0,0,0,0,29.88,9.230625,0.6,4.668125,29.88,29.88,9.230625,0,0,16.7925,55.76
0,0,0,0,0,0,0,117.6675,0,0,0,0,0,0,0,0,117.6675,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.76
4.668125,0,0,9.230625,2.1575,0,0,0,0,0,0,16.7925,0,0,0,0,29.88,16.7925
0,0,0,0,0,0,0,0,0,2.1575,0,117.6675,0,0,0,0,0,0
2.1575,0,0,55.76,2.1575,0,2.1575,55.76,55.76,0.6,0,4.668125,0,4.668125,0,0,16.7925,55.76
0,0,0,0,0,0,0,0,29.88,0.6,0,0,0,0,0,0,0,0
2.1575,55.76,0,0,0,0,0.6,0,117.6675,4.668125,55.76,0,0,29.88,0,0,0,0
0,0,0,0,9.230625,0,0,0,0,0,0,9.230625,9.230625,0,0,0,117.6675,0
0,0,0,0,0,0,2.1575,0,0,0,0,9.230625,0,0,0,0,0,0
16.7925,0,0,0,0,0,4.668125,117.6675,117.6675,4.668125,0,0,0.6,0,0,0,0,0
0,0,0,0,0,4.668125,0,0,0,0,0,0,0,0.6,0,0,0,0
2.1575,0,0,117.6675,4.668125,0,0,4.668125,0,2.1575,2.1575,0,29.88,4.668125,0,0,9.230625,0
0.6,0,0,117.6675,0,0,0,9.230625,55.76,2.1575,0,2.1575,16.7925,0,0,0,9.230625,0
2.1575,0,0,117.6675,0,0,0.6,16.7925,29.88,16.7925,9.230625,0.6,0,0,0,0,16.7925,117.6675
0.6,0,0,117.6675,0,0,0,16.7925,55.76,0,9.230625,0.6,16.7925,4.668125,0,0,4.668125,0
0,0,0,0,0,0,0,0,0,9.230625,55.76,0,0,0,0,0,0,0
