"Achmi.action","Agrsm.action","Amocan.action","Andge.action","Asctu.action","Elyca.action","Koecr.action","Lesca.action","Liaas.action","Luppe.action","Monfi.action","Panvi.action","Petpu.action","Poapr.action","Queel.action","Quema.action","Schsc.action","Sornu.action","environment.initial","Achmi.outcome","Agrsm.outcome","Amocan.outcome","Andge.outcome","Asctu.outcome","Elyca.outcome","Koecr.outcome","Lesca.outcome","Liaas.outcome","Luppe.outcome","Monfi.outcome","Panvi.outcome","Petpu.outcome","Poapr.outcome","Queel.outcome","Quema.outcome","Schsc.outcome","Sornu.outcome","state_idx"
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.33,0,0,0,0,0,0,0,0,0,0,128
0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.83,0,1.27,20,0,0,0,0,0,0,3344
1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,8.83,0,0,0,0,0,2,0,0,0.67,12,0,0,5.17,0,0,38.33,70,206405
0,1,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,2.12,0,0,0,0,0,0,0,0,0,0,26.37,4.38,0,0,0,0,62502
0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,88.33,0,0,0,0,43,0,0,0,0,0,0,0,0,0,270
0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.97,6.08,0,0,0,0,0,6164
1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,2.85,0,0,125.58,0,0,0.7,0,56.42,12.27,5.85,14.72,2.53,12.73,0,0,22.85,0,130943
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.83,91.35,0,0,0,0,0,0,0,0,0,0,192
1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,6.33,0,0,0,0,0,12.5,22.5,0,0,0,0,21.5,6.17,0,0,0,0,45285
1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.17,0,10.9,0,0,0,0,0,0,0,0,0,0,62.05,163959
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.35,0,0,0,0,0,0,0,0,0,0,0,64
0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,33.83,0,0,10,4.83,27.5,0,0,0,23.83,8.67,0,0,60.67,5.83,261630
0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,21.65,101.47,0,0,0,36.12,0,0,0,0,0,37248
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1028
1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,102.8,0,0,1.87,5.2,0,4.78,0,1.35,19.9,9.15,0,0,22.43,54.27,261855
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.88,0,0,0,0,0,0,0,0,544
1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0.17,0,0,40.17,0,0,0,0,0,0,0,0,15.83,0,0,0,94.33,16,233487
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,40.27,0,0,0,0,0,3.12,0,0,71.88,13.78,204928
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.25,0,66593
0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05,0,0,0,0,8.75,0,0,0,0,0,0,2112
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.22,72.93,0,0,0,0,0,0,0,1536
