"Tetra.outcome","Colp.outcome","Dexio.outcome","Loxo.outcome","Para.outcome","Spiro.outcome"
0,0,0.000243899586682576,0,0,0.0324769742602407
0,0,0.00111705207833361,0,0,0.10751175679947
0,0,0.000909185270659582,0,0,0.0512476333449836
0,0,0.000169517036269503,0.0498033943945891,0,0.00394500764815793
0,0,0.00191072687852899,0.0293373446351716,0,0.0464598625912809
0,0,0.000199669373069886,0.0149050553064828,0,0.0163813252177485
0,0,0,0.035567334497489,0.107220708171708,0.0169211803970302
0,0,0,0.0958135540328068,0.032701579985174,0.0411664479856777
0,0,0,0.00519433477964466,0.0403881434139729,0.0151632082625861
0.00384547,0.0461634,0.0003032802,0.0337452,0,0.07574405
0.005006208,0.003849387,0.0005563101,0.03908249,0,0.02712742
0.002132016,0.0353127,0.001494076,0.02000155,0,0.07473115
