"a.star","b.star","c.star","d.star","e.star","f.star","g.star","h.star","i.star","j.star","k.star"
0,0,0,0,0,0,0,0,0,0,0
1.79406317020861,0,0,0,0,0,0,0,0,0,0
3.75682052932352,6.4819680278804,0,0,0,0,0,0,0,0,0
0,0,2.99696410222578,0,0,1.21031457190054,0,0,0,0,0
0,0,0,0.635425511116064,1.35180434737706,1.49647873977275,0,0,0,0,0
0,0,2.94869453739773,0.170837263001766,0.747654518719693,1.32644078206037,0,0,0,0,0
0,0,3.50423145050186,0,0,0,0,0,0,0,0
0,0,3.50414098763227,0,0.182760175104084,0,0,0,0,0,0
2.37211935556954,4.64302289696155,0,0,0,1.52204054520382,0,0,0,0,0
0.471754392713009,0,0,0.545686386810408,1.27451191721648,1.46893917933878,0,0,0,0,0
1.16965645329833,0,0,0,0.644784752052012,0,0,0.167546502261162,0,0,0
0,0,0,0,0,0,0.0879603826359452,0.218876653431363,0,0,0
3.75682052932352,6.4819680278804,0,0,0,0,0,0,0,0,0
0,0,0,0,1.84029188801908e-06,0,0,0,7.02609694918167,0,0
0,0,0,0,0,2.13115877519994,0,0,13.320395414246,0,0
0.237960439732357,0,0,0,0,0,0,0,8.50403655162383,0,0
0.173554801944783,0.20062558496017,0,0,0,0,0,0,9.18800671392584,0,0
0,0,0,0,1.47490047289241e-06,0,0,0,7.02609589395077,0,0
0,0,0,0,0,2.13115877519994,0,0,13.320395414246,0,0
0,0,0,0,0,0,0,0,7.02609163453778,0,0
0,0,0,0,0,2.13115877519994,0,0,13.320395414246,0,0
0,0,0,0,0,2.13115877519994,0,0,13.320395414246,0,0
0,0,0,0,0,2.13115877519994,0,0,13.320395414246,0,0
1.59444161676341,0,0,0.112199185491557,0,0,0,0,0,1.56426843622471,0
0,0,3.8332797527787,0,0,0,0,0,0,1.39440735935664,0
0.250641749089977,0,0,0,0.570534248701691,1.23547012652745,0,0,0,1.79869294890903,0
0,0,3.24801777542459,0,0.161680589915273,1.28321755781496,0,0,0,1.19371217169378,0
0,0,3.24801766170435,3.99195174212026e-07,0.161680620325452,1.28321776179995,0,0,0,1.19371205981422,0
0,0,3.83327975277871,0,0,0,0,0,0,1.39440735935665,0
0,0,3.24801766176347,3.98987619588563e-07,0.161680620309641,1.28321776169389,0,0,0,1.19371205987239,0
0,0,3.8332797527787,0,0,0,0,0,0,1.39440735935664,0
0,0,3.8332797527787,0,0,0,0,0,0,1.39440735935664,0
0,0,0,0.442865284688814,0.615230850381492,1.45042329453594,0,0,0,1.68114825986487,0
1.83325263036389,3.93963832429271,0,0,0,1.52854538496677,0,0,0,1.56524644890271,0
0,0,0,0,0,0,0,0,11.8048431119118,2.3956047836728,0
0,0,0,0,0,0,0,0,11.8048431119118,2.3956047836728,0
0,0,0,0,0,0,0,0,11.8048431119118,2.3956047836728,0
0,0,0,0,0,0,0,0,11.8048431119118,2.3956047836728,0
0,0,0,0,0,0,0,0,11.8048431119118,2.3956047836728,0
0,0,0,0,0,2.675179436551,0,0,19.0978977786287,2.09081460288819,0
0,0,0,0,0,0,0,0,11.8048431119118,2.3956047836728,0
0,0,0,0,0,0,0,0,11.8048431119118,2.3956047836728,0
3.75682052932352,6.4819680278804,0,0,0,0,0,0,0,0,0
1.60319618456643,0,0,0.294186773143701,0.583175696945678,0,0,0,0,0,0
0,0,0,0,0,0,0.0293271368313493,0,0,0,0.835314427784497
0,0,0,0,1.13779042340289,0,0,0,0,0,1.15770375300416
0,0,0,0,1.49551966679557,1.20484809499338,0,0,0,0,0.426721328163264
0,2.73754791120529,0,0.209369608941227,0,1.39771092923218,0,0,0,0,0
0,0,3.50450545882355,0.0606863667341501,0,0,0,0,0,0,0
1.58101458899859,0,0,0.269431610053397,0.555265293610311,0,0,0.0566009686694247,0,0,0
0,2.97610741323815,0,0.0837181991099867,0.187863839342068,0,0,0,0,0,0
0,0.396925859321198,0,0,0,0,0,0,11.4844947099955,0,0.410215190721115
0,0,1.00445567745634e-08,0,0,0,0,0,10.5867691496301,0,0.631274809766225
0,0,0,0,0,0,0,0,10.5867691311637,0,0.631274815919585
0,0,1.01500888706077e-08,0,0,0,0,0,10.5867691498241,0,0.631274809701575
0,0,0,0,0,2.13115877519994,0,0,13.320395414246,0,0
0,0,0,0,0,2.13115877519994,0,0,13.320395414246,0,0
0,0,0,0,0,2.13115877519994,0,0,13.320395414246,0,0
0,0.396925859321203,0,0,0,0,0,0,11.4844947099954,0,0.41021519072111
0,0,0,0,0,0,0,0,10.5867691311638,0,0.631274815919589
0,0,0,0,0,2.13115877519994,0,0,13.320395414246,0,0
0,0,0,0,0,2.13115877519994,0,0,13.320395414246,0,0
0,0,0,0,0,2.13115877519994,0,0,13.320395414246,0,0
0,0,0,0,0,2.13115877519994,0,0,13.320395414246,0,0
0,0.396925859321203,0,0,0,0,0,0,11.4844947099954,0,0.41021519072111
0,0,0,0,0,2.13115877519994,0,0,13.320395414246,0,0
0,0,0,0,0,0,0,0,10.5867691311637,0,0.631274815919585
0,0,3.83327975277871,0,0,0,0,0,0,1.39440735935665,0
0,2.40820234797618,0,0.0799726414638875,0,1.37484753174848,0,0,0,1.33706219227964,0
1.83325263036389,3.93963832429271,0,0,0,1.52854538496677,0,0,0,1.56524644890271,0
0.58125516824792,0,0,0.336253597041297,0.535134456136483,1.41743786371399,0,0,0,1.64660043072249,0
0,0,3.83327975277871,0,0,0,0,0,0,1.39440735935665,0
2.98061625236872,5.46898194785882,0,0,0,0,0,0,0,2.27967657303827,0
0,0,3.21187032618372,0,0,1.26689445223122,0,0,0,1.01119950632896,0
0,0,0,0,0,0,0,0,0,1.32668475363234,0.924931851321289
1.5944416167634,0,0,0.112199185491557,0,0,0,0,0,1.56426843622472,0
0.893523213152896,0,0,0,0,1.21294731179468,0,0,0,1.16927780038777,0
0,0,0,0,0.649407099279021,1.2495931212616,0,0,0,1.81935776611276,0.274432266985246
1.5944416167634,0,0,0.112199185491557,0,0,0,0,0,1.56426843622471,0
2.98061625236872,5.46898194785882,0,0,0,0,0,0,0,2.27967657303827,0
1.5944416167634,0,0,0.112199185491557,0,0,0,0,0,1.56426843622472,0
0,0,0,0,0,0,0,0,16.0063315379649,2.57192209591748,0.682528340639522
0,0,0,0,0,0,0,0,16.006331537965,2.57192209591749,0.682528340639521
0,0,0,0,0,2.675179436551,0,0,19.0978977786287,2.09081460288819,0
0,0,0,0,0,0,0,0,16.0063315379649,2.57192209591748,0.682528340639522
0,0,0,0,0,0,0,0,16.006331537965,2.57192209591749,0.682528340639521
0,0,0,0,0,0,0,0,16.006331537965,2.57192209591749,0.682528340639521
0,0,0,0,0,0,0,0,16.006331537965,2.57192209591749,0.682528340639521
0,0,0,0,0,2.675179436551,0,0,19.0978977786287,2.09081460288819,0
