"a","b","c","d","e","f","g","h","i","j","k","richness","a.star","b.star","c.star","d.star","e.star","f.star","g.star","h.star","i.star","j.star","k.star","feasible.and.stable","state_idx"
1,0,0,0,0,0,0,0,0,0,0,1,1.79406317020861,0,0,0,0,0,0,0,0,0,0,"TRUE",1
0,1,0,1,0,0,0,0,0,0,0,2,0,3.06280969210226,0,0.0798386201737919,0,0,0,0,0,0,0,"TRUE",10
1,0,0,0,1,0,0,0,0,0,0,2,1.11328578973297,0,0,0,0.775245822482141,0,0,0,0,0,0,"TRUE",17
1,1,0,1,0,1,0,0,0,0,0,3,2.37211935556954,4.64302289696155,0,0,0,1.52204054520382,0,0,0,0,0,"TRUE",43
0,0,1,0,1,1,0,0,0,0,0,3,0,0,2.98453181705834,0,0.761027374919087,1.23907860988407,0,0,0,0,0,"TRUE",52
0,1,0,1,1,1,0,0,0,0,0,4,0,2.35098508920747,0,0.228047666631479,0.829127899776424,1.41449806273568,0,0,0,0,0,"TRUE",58
0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.189458924447378,0,0,0,0,"TRUE",64
1,0,0,1,0,0,1,0,0,0,0,2,2.05840496549528,0,0,0.24207634120881,0,0,0,0,0,0,0,"TRUE",73
0,0,1,0,0,1,1,0,0,0,0,2,0,0,2.99696410222578,0,0,1.21031457190054,0,0,0,0,0,"TRUE",100
0,0,0,1,0,1,1,0,0,0,0,2,0,0,0,0.723289691988043,0,1.49046283171865,0,0,0,0,0,"TRUE",104
1,0,0,0,1,1,1,0,0,0,0,2,1.75041015269381e-10,0,0,0,1.43148872818476,1.16837944073899,0,0,0,0,0,"TRUE",113
0,0,0,1,1,1,1,0,0,0,0,3,0,0,0,0.635425511116064,1.35180434737706,1.49647873977275,0,0,0,0,0,"TRUE",120
0,0,1,1,1,1,1,0,0,0,0,4,0,0,2.94869453739773,0.170837263001766,0.747654518719693,1.32644078206037,0,0,0,0,0,"TRUE",124
0,1,1,1,1,1,1,0,0,0,0,4,0,0,2.94869453739773,0.170837263001766,0.747654518719693,1.32644078206037,0,0,0,0,0,"TRUE",126
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.190781005792038,0,0,0,"TRUE",128
0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0.624625314215919,0,0,0,0.0458227958619535,0,0,0,"TRUE",136
0,1,1,1,0,0,0,1,0,0,0,2,0,0,3.50450545882355,0.0606863667341501,0,0,0,0,0,0,0,"TRUE",142
0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0.79327669333716,0,0,0.291723769360175,0,0,0,"TRUE",144
0,1,1,0,0,1,0,1,0,0,0,2,0,0,2.99696410222578,0,0,1.21031457190054,0,0,0,0,0,"TRUE",166
0,1,1,1,0,1,0,1,0,0,0,3,0,0,2.9507252952791,0.219086086563431,0,1.32299825697531,0,0,0,0,0,"TRUE",174
1,0,0,1,1,1,0,1,0,0,0,5,0.451179726552809,0,0,0.528826508696107,1.25714637331155,1.47485864704369,0,0.0408662026776558,0,0,0,"TRUE",185
1,1,0,1,1,1,0,1,0,0,0,3,2.37211935556954,4.64302289696155,0,0,0,1.52204054520382,0,0,0,0,0,"FALSE",187
0,0,1,1,1,1,0,1,0,0,0,4,0,0,2.94869453739773,0.170837263001766,0.747654518719693,1.32644078206037,0,0,0,0,0,"TRUE",188
0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0.0879603826359452,0.218876653431363,0,0,0,"TRUE",192
0,0,0,1,0,0,1,1,0,0,0,3,0,0,0,0.641982115841747,0,0,0.05345596463445,0.058869268108643,0,0,0,"TRUE",200
1,0,0,1,0,0,1,1,0,0,0,2,2.05840496549527,0,0,0.24207634120881,0,0,0,0,0,0,0,"TRUE",201
0,0,1,1,1,0,1,1,0,0,0,3,0,0,3.50437374395616,0.0498190927017857,0.166970844527518,0,0,0,0,0,0,"TRUE",220
1,1,0,0,0,1,1,1,0,0,0,3,2.37211935556954,4.64302289696155,0,0,0,1.52204054520382,0,0,0,0,0,"TRUE",227
0,1,1,0,0,1,1,1,0,0,0,2,0,0,2.99696410222578,0,0,1.21031457190054,0,0,0,0,0,"TRUE",230
1,1,0,0,1,1,1,1,0,0,0,3,2.37211935556954,4.64302289696155,0,0,0,1.52204054520382,0,0,0,0,0,"FALSE",243
0,0,1,1,0,0,0,0,1,0,0,2,0,0,0.014954078590998,0,0,0,0,0,7.10455234848448,0,0,"TRUE",268
1,1,0,0,1,0,0,0,1,0,0,3,0.173554801944776,0.200625584960174,0,0,0,0,0,0,9.18800671392584,0,0,"TRUE",275
0,0,1,0,1,0,0,0,1,0,0,2,0,0,0.014954942712716,0,0,0,0,0,7.10455694606611,0,0,"TRUE",276
0,1,1,0,1,0,0,0,1,0,0,2,0,0.266779522538214,0,0,0,0,0,0,8.46750955152449,0,0,"TRUE",278
0,0,1,1,1,0,0,0,1,0,0,2,0,0,0.014953688098507,0,0,0,0,0,7.10455027086309,0,0,"TRUE",284
1,0,0,1,0,1,0,0,1,0,0,2,0,0,0,0,0,2.13115877519994,0,0,13.320395414246,0,0,"TRUE",297
1,0,1,1,0,1,0,0,1,0,0,2,0,0,0,0,0,2.13115877519994,0,0,13.320395414246,0,0,"TRUE",301
0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,7.0260916345378,0,0,"TRUE",328
1,1,1,1,0,0,1,0,1,0,0,3,0.173554801944783,0.20062558496017,0,0,0,0,0,0,9.18800671392584,0,0,"FALSE",335
0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1.85058026378543e-06,0,0,0,7.02609697889398,0,0,"TRUE",336
0,1,0,0,1,0,1,0,1,0,0,2,0,0.266779522538217,0,0,0,0,0,0,8.46750955152454,0,0,"TRUE",338
1,1,0,0,1,0,1,0,1,0,0,3,0.173554801944776,0.200625584960174,0,0,0,0,0,0,9.18800671392584,0,0,"TRUE",339
0,1,0,1,1,0,1,0,1,0,0,2,0,0.266779522538217,0,0,0,0,0,0,8.46750955152454,0,0,"TRUE",346
1,0,1,0,0,1,1,0,1,0,0,2,0,0,0,0,0,2.13115877519994,0,0,13.320395414246,0,0,"TRUE",357
1,0,0,1,0,1,1,0,1,0,0,2,0,0,0,0,0,2.13115877519994,0,0,13.320395414246,0,0,"TRUE",361
1,0,0,0,1,1,1,0,1,0,0,2,0,0,0,0,0,2.13115877519994,0,0,13.320395414246,0,0,"TRUE",369
1,0,1,1,1,1,1,0,1,0,0,2,0,0,0,0,0,2.13115877519994,0,0,13.320395414246,0,0,"TRUE",381
0,1,1,0,0,0,0,1,1,0,0,2,0,0.266779522538214,0,0,0,0,0,0,8.46750955152449,0,0,"TRUE",390
1,0,1,1,0,0,0,1,1,0,0,2,0.237960439732351,0,0,0,0,0,0,0,8.50403655162393,0,0,"TRUE",397
0,1,1,1,0,0,0,1,1,0,0,2,0,0.266779522538214,0,0,0,0,0,0,8.46750955152449,0,0,"FALSE",398
0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1.82211166586988e-06,0,0,0,7.02609689667811,0,0,"TRUE",400
0,0,1,0,1,0,0,1,1,0,0,2,0,0,0.0149548696806504,0,0,0,0,0,7.10455655749688,0,0,"FALSE",404
1,1,0,1,1,0,0,1,1,0,0,3,0.173554801944776,0.200625584960174,0,0,0,0,0,0,9.18800671392584,0,0,"TRUE",411
0,1,0,0,0,1,0,1,1,0,0,2,0,0,0,0,0,2.13115877519994,0,0,13.320395414246,0,0,"FALSE",418
1,1,0,0,0,1,0,1,1,0,0,2,0,0,0,0,0,2.13115877519994,0,0,13.320395414246,0,0,"FALSE",419
1,0,1,0,0,1,0,1,1,0,0,2,0,0,0,0,0,2.13115877519994,0,0,13.320395414246,0,0,"FALSE",421
0,1,1,0,0,1,0,1,1,0,0,2,0,0,0,0,0,2.13115877519994,0,0,13.320395414246,0,0,"FALSE",422
0,0,1,1,0,1,0,1,1,0,0,2,0,0,0,0,0,2.13115877519994,0,0,13.320395414246,0,0,"FALSE",428
1,0,1,1,0,1,0,1,1,0,0,2,0,0,0,0,0,2.13115877519994,0,0,13.320395414246,0,0,"FALSE",429
0,1,1,1,0,1,0,1,1,0,0,2,0,0,0,0,0,2.13115877519994,0,0,13.320395414246,0,0,"FALSE",430
0,0,0,0,1,1,0,1,1,0,0,2,0,0,0,0,0,2.13115877519994,0,0,13.320395414246,0,0,"FALSE",432
