"a.star","b.star","c.star","d.star","e.star","f.star","g.star","h.star","i.star","j.star","k.star","l.star","m.star","n.star","o.star","p.star","q.star","r.star"
0,0,0,0,4818.53393575065,0,0,0,0,0,0,0,0,0,0,0,0,4818.53393575065
0,0,0,0,0,0,0,0.000459140716066304,0,0,0,0,0,0,0,0,21699.8134258542,0
0,0,0,0,0,0,0,0,0,0,13595.2738696606,0,0,0,0,0,13595.2738696606,0
0,0,0,0,0,0,0,4.66793216521106e-05,0,0,0,0,0,0,0,0,21699.8134258542,0
0,0,0,0,0,0,0,0,0,0,68.4453556883802,0,0,0,0,0,13595.2738696606,0
0,0,0,0,0,0,0,0,0,0,68.4453556883802,0,0,0,0,0,13595.2738696606,0
0,0,0,0,0,0,0,0,0,0,2141.53128700116,0,0,0,0,0,13595.2738696606,0
0,0,0,0,0,0,0,0,0,0,68.4453556883802,0,0,0,0,0,13595.2738696606,0
0,0,0,0,0,0,0,4.66793216521106e-05,0,0,0,0,0,0,0,0,21699.8134258542,0
0,0,0,0,0,0,0,0,0,0,68.4453556883802,0,0,0,0,0,13595.2738696606,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.8134258542,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.8134258542,0
0,0,0,0,0,0,0,4.66793216521106e-05,0,0,68.4453556883802,0,0,0,0,0,13595.2738696606,0
0,0,0,0,0,0,0,4.66793216521106e-05,0,0,0,0,0,0,0,0,21699.8134258542,0
0,0,0,0,0,0,0,4.66793216521106e-05,0,0,0,0,0,0,0,0,21699.8134258542,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.8134258542,0
0,0,0,0,0,0,0,0.000459140716066304,0,0,0,0,0,0,0,0,21699.8134258542,0
0,0,0,0,0,0,0,0.000459140716066304,0,0,0,0,0,0,0,0,21699.8134258542,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.8134258542,0
0,0,0,0,0,0,0,4.66793216521106e-05,0,0,68.4453556883802,0,0,0,0,0,13595.2738696606,0
0,0,0,0,0,0,0,4.66793216521106e-05,0,0,0,0,0,0,0,0,21699.8134258542,0
0,0,0,0,0,0,0,4.66793216521106e-05,0,0,0,0,0,0,0,0,21699.8134258542,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.8134258542,0
0,4818.53393575065,0,0,0,0,0,68.4453556883802,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.000459140716066304,0,0,13595.2738696606,0,0,0,0,0,13595.2738696606,0
0,0,0,0,0,0,0,4.66793216521106e-05,0,0,68.4453556883802,0,0,0,0,0,13595.2738696606,0
0,0,0,0,0,0,0,4.66793216521106e-05,0,0,0,0,0,0,0,0,21699.8134258542,0
0,0,0,0,0,0,0,0,0,0,68.4453556883802,0,0,0,0,0,21699.8134258542,0
0,0,0,0,0,0,0,0,0,0,68.4453556883802,0,0,0,0,0,21699.8134258542,0
0,0,0,0,0,0,0,4.66793216521106e-05,0,0,0,0,0,0,0,0,21699.8134258542,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.8134258542,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.8134258542,0
0,4818.53393575065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.8134258542,0
0,0,0,0,0,0,0,4.66793216521106e-05,0,0,0,0,0,0,0,0,21699.8134258542,0
0,0,0,0,0,0,0,0,0,0,68.4453556883802,0,0,0,0,0,21699.8134258542,0
0,0,0,0,0,0,0,4.66793216521106e-05,0,0,68.4453556883802,0,0,0,0,0,13595.2738696606,0
0,0,0,0,0,0,0,0,0,0,68.4453556883802,0,0,0,0,0,13595.2738696606,0
0,0,0,0,0,0,0,0,0,0,68.4453556883802,0,0,0,0,0,13595.2738696606,0
0,0,0,0,0,0,0,4.66793216521106e-05,0,0,0,0,0,0,0,0,21699.8134258542,0
0,0,0,0,0,0,0,4.66793216521106e-05,0,0,68.4453556883802,0,0,0,0,0,21699.8134258542,0
0,0,0,0,0,0,0,4.66793216521106e-05,0,0,0,0,0,0,0,0,21699.8134258542,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.8134258542,0
0,0,0,0,0,0,0,0,0,0,2141.53128700116,0,0,0,0,0,13595.2738696606,0
0,0,0,0,0,0,0,0.000459140716066304,0,0,0,0,0,0,0,0,21699.8134258542,0
0,0,0,0,0,0,0,0,0,0,13595.2738696606,0,0,0,0,0,13595.2738696606,0
0,0,0,0,0,0,0,0.000459140716066304,0,0,0,0,0,0,0,0,21699.8134258542,0
0,4818.53393575065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,4.66793216521106e-05,0,0,0,0,0,0,0,0,21699.8134258542,0
0,0,0,0,0,0,0,0,0,0,68.4453556883802,0,0,0,0,0,13595.2738696606,0
0,0,0,0,0,0,0,0.000459140716066304,0,0,13595.2738696606,0,0,0,0,0,13595.2738696606,0
0,0,0,0,0,0,0,4.66793216521106e-05,0,0,0,0,0,0,0,0,21699.8134258542,0
0,0,0,0,0,0,0,4.66793216521106e-05,0,0,2141.53128700116,0,0,0,0,0,13595.2738696606,0
0,0,0,0,0,0,0,0.000459140716066304,0,0,68.4453556883802,0,0,0,0,0,13595.2738696606,0
0,0,0,0,0,0,0,4.66793216521106e-05,0,0,68.4453556883802,0,0,0,0,0,13595.2738696606,0
0,0,0,0,0,0,0,0.000459140716066304,0,0,2141.53128700116,0,0,0,0,0,13595.2738696606,0
0,0,0,0,0,0,0,0.000459140716066304,0,0,0,0,0,0,0,0,21699.8134258542,0
0,0,0,0,0,0,0,0.000459140716066304,0,0,0,0,0,0,0,0,21699.8134258542,0
0,0,0,0,0,0,0,4.66793216521106e-05,0,0,68.4453556883802,0,0,0,0,0,13595.2738696606,0
0,0,0,0,0,0,0,0,0,0,68.4453556883802,0,0,0,0,0,13595.2738696606,0
0,0,0,0,0,0,0,0.000459140716066304,0,0,13595.2738696606,0,0,0,0,0,13595.2738696606,0
0,0,0,0,0,0,0,4.66793216521106e-05,0,0,0,0,0,0,0,0,21699.8134258542,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.8134258542,0
0,0,0,0,0,0,0,0,0,0,2141.53128700116,0,0,0,0,0,13595.2738696606,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.8134258542,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.8134258542,0
0,0,0,0,0,0,0,0.000459140716066304,0,0,0,0,0,0,0,0,21699.8134258542,0
0,0,0,0,0,0,0,4.66793216521106e-05,0,0,0,0,0,0,0,0,21699.8134258542,0
0,0,0,0,0,0,0,0.000459140716066304,0,0,2141.53128700116,0,0,0,0,0,13595.2738696606,0
0,0,0,0,0,0,0,0,0,0,68.4453556883802,0,0,0,0,0,13595.2738696606,0
0,0,0,0,0,0,0,4.66793216521106e-05,0,0,68.4453556883802,0,0,0,0,0,13595.2738696606,0
0,0,0,0,0,0,0,4.66793216521106e-05,0,0,0,0,0,0,0,0,21699.8134258542,0
0,0,0,0,0,0,0,0.000459140716066304,0,0,0,0,0,0,0,0,21699.8134258542,0
0,0,0,0,0,0,0,4.66793216521106e-05,0,0,68.4453556883802,0,0,0,0,0,13595.2738696606,0
0,0,0,0,0,0,0,4.66793216521106e-05,0,0,68.4453556883802,0,0,0,0,0,13595.2738696606,0
0,0,0,0,0,0,0,0,0,0,68.4453556883802,0,0,0,0,0,13595.2738696606,0
0,0,0,0,0,0,0,0.000459140716066304,0,0,0,0,0,0,0,0,21699.8134258542,0
0,0,0,0,0,0,0,4.66793216521106e-05,0,0,0,0,0,0,0,0,21699.8134258542,0
0,0,0,0,0,0,0,0,0,0,68.4453556883802,0,0,0,0,0,21699.8134258542,0
0,0,0,0,0,0,0,4.66793216521106e-05,0,0,68.4453556883802,0,0,0,0,0,13595.2738696606,0
0,0,0,0,0,0,0,4.66793216521106e-05,0,0,2141.53128700116,0,0,0,0,0,13595.2738696606,0
