"a.star","b.star","c.star","d.star","e.star","f.star","g.star","h.star","i.star","j.star","k.star","l.star","m.star","n.star","o.star","p.star","q.star","r.star"
0,4.6817058896113e-10,0,0,4320.66550846818,0,0,0.000905441038208904,0,0,29176.2976405358,0,0,0,0,0,0,0
3293.49180091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5.1953589123456e-10,0,0,4320.79664026019,0,0,0,0,0,29175.0145882945,0,0,0,0,0,0,0
3293.49180091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4.7710284372032e-10,0,0,4320.68895029146,0,0,0.000882504075176831,0,0,29176.0666887017,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,13863.5669935467,0,0,0,0,0,0
0,0,0,0,4309.44209074908,0,0,0.000158690755534905,0,0,29286.9954294289,0,0,0,0,0,0,0
0,0,0,0,4309.4585161015,0,0,0.000159165425591014,0,0,29286.8334471029,0,0,0,0,0,0,0
3293.49180091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,6323.55727042959,0,0,0,0,0,0,0,0,408.604042306836,0,0,0,0
3293.4913813998,0,0,0,0,0,0,0.000252080423330515,0,0,0,0,0,0,0,0,0,0
0,4146.17077811877,0,0,0,0,0,0.0457437761790294,0,0,0,0,0,0,0,0,0,0
0,4146.17278049635,0,0,0,0,0,0.0352457715867753,0,0,0,0,0,0,0,0,0,0
0,4056.57238685051,0,0,1218.64054062663,0,0,0.0184853003659703,0,0,0,0,0,0,0,0,0,0
3293.4913658078,0,0,0,0,0,0,0.000261449534240585,0,0,0,0,0,0,0,0,0,0
0,4056.57285252418,0,0,1218.64458033495,0,0,0.0144772462691781,0,0,0,0,0,0,0,0,0,0
0,4056.57230392569,0,0,1218.6398212555,0,0,0.0191990345534578,0,0,0,0,0,0,0,0,0,0
3293.49180091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4146.1726331354,0,0,0,0,0,0.0360183511188126,0,0,0,0,0,0,0,0,0,0
0,0,0,0,4311.1902026181,0,0,0.000452481915665787,0,0,29269.7529928833,0,0,0,0,0,0,0
3293.49180091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,4309.44435626005,0,0,0.000151729689725887,0,0,29286.9731678322,0,0,0,0,0,0,0
0,0,0,0,7205.94230827586,0,0,0.0528068136526923,0,0,0,0,0,0,0,0,0,0
0,4146.17950323508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,5.82145537202332,0,0,0,0,0,3183.42139088313,0,0,0,0
0,0,0,0,0,0,0,5.68897674398915,0,0,0,0,0,3183.46022799771,0,0,0,0
3293.49139730539,0,0,0,0,0,0,0.000242522874360919,0,0,0,0,0,0,0,0,0,0
