"a.star","b.star","c.star","d.star","e.star","f.star","g.star","h.star","i.star","j.star","k.star","l.star"
0,0.572330120350946,0,0,0,0.166739355021359,0,0,0,0,0,0.234874171235361
0,0,0,0.572330120350946,0,0.0724592700066356,0,0,0,0,0,0.234874171235361
0,0,0.572330120350946,0,0,0,0,0,0,0,0,0.389228857848345
0.234874171235361,0,0.572330120350946,0,0,0,0,0,0,0,0,0.166739355021359
0,0,0.471810674674798,0,0,0,0.31243878159358,0,0,0,0,0.0724592700066356
0,0,0,0.31243878159358,0.471810674674798,0,0.389228857848345,0,0,0,0,0
0.722949806127622,0,0,0.0724592700066356,0.471810674674798,0,0.166739355021359,0,0.572330120350946,0,0,0
0.722949806127622,0,0,0.0724592700066356,0.389228857848345,0,0,0,0.572330120350946,0,0,0
0,0,0.389228857848345,0,0.166739355021359,0,0,0,0.722949806127622,0,0,0
0.389228857848345,0,0.471810674674798,0,0,0.166739355021359,0,0,0,0,0,0
0,0,0.234874171235361,0.31243878159358,0,0.0724592700066356,0,0,0,0,0,0.234874171235361
0.31243878159358,0.166739355021359,0,0,0.471810674674798,0,0,0,0,0,0,0.0724592700066356
0.31243878159358,0,0.389228857848345,0,0,0.0724592700066356,0.234874171235361,0,0,0,0,0
0,0,0.234874171235361,0.389228857848345,0,0.31243878159358,0,0.166739355021359,0,0.0724592700066356,0,0
0.389228857848345,0,0,0,0.572330120350946,0,0,0,0,0,0,0.0724592700066356
0.31243878159358,0,0,0.234874171235361,0.471810674674798,0,0.234874171235361,0,0,0,0,0
0.722949806127622,0,0,0.0724592700066356,0.389228857848345,0,0,0,0.572330120350946,0,0,0
0.722949806127622,0,0,0.0724592700066356,0.471810674674798,0,0.166739355021359,0,0.572330120350946,0,0,0
0,0,0,0,0.722949806127622,0,0,0,0.471810674674798,0.0724592700066356,0,0
0,0.166739355021359,0,0,0.471810674674798,0,0,0,0.572330120350946,0.0724592700066356,0,0
