"a.star","b.star","c.star","d.star","e.star","f.star","g.star","h.star","i.star","j.star","k.star","l.star"
0.239191695648815,0,0.385923684431572,0,0,0,0.239191695648815,0,0,0,0,0
0,0,0,0,0.729604396782703,0,0.320035835258216,0,0,0,0,0
0.385923684431572,0,0,0,0.586029322661442,0,0.239191695648815,0,0,0,0,0
0.385923684431572,0,0.474198374176171,0,0,0.153666737777304,0,0,0,0,0,0
0.239191695648815,0,0,0.586029322661442,0,0,0.320035835258216,0,0,0,0,0
0,0,0,0.239191695648815,0.474198374176171,0,0.320035835258216,0,0,0,0,0
0,0,0.474198374176171,0,0.153666737777304,0,0,0,0.586029322661442,0,0,0
0.729604396782703,0,0,0,0.474198374176171,0,0.153666737777304,0,0.474198374176171,0,0,0
0,0,0,0.153666737777304,0.586029322661442,0,0.320035835258216,0,0.729604396782703,0,0,0
0.729604396782703,0,0,0.385923684431572,0,0,0,0,0.729604396782703,0,0,0
0.586029322661442,0.0613144431998627,0.239191695648815,0,0,0,0.153666737777304,0,0.474198374176171,0,0,0
0.239191695648815,0,0.586029322661442,0,0,0,0,0,0,0,0,0
0.320035835258216,0,0,0.385923684431572,0.320035835258216,0,0,0,0,0,0,0
0,0,0.153666737777304,0.385923684431572,0.153666737777304,0.239191695648815,0,0,0,0.0613144431998627,0,0
0,0,0,0.239191695648815,0.474198374176171,0,0.320035835258216,0,0,0.0613144431998627,0,0
0,0,0.385923684431572,0,0,0.239191695648815,0.385923684431572,0,0,0,0,0
0.320035835258216,0.586029322661442,0,0,0,0,0,0.0613144431998627,0,0.0613144431998627,0.0613144431998627,0
0,0,0,0,0.729604396782703,0,0,0.153666737777304,0,0.153666737777304,0,0
0,0,0,0,0.729604396782703,0,0,0,0.474198374176171,0.153666737777304,0,0
0,0,0,0,0,0.0613144431998627,0.385923684431572,0,0.153666737777304,0.0613144431998627,0.0613144431998627,0
0.586029322661442,0.0613144431998627,0.239191695648815,0,0,0,0.153666737777304,0,0.474198374176171,0,0,0
0,0,0.474198374176171,0,0.153666737777304,0,0,0,0.586029322661442,0,0,0
0,0.474198374176171,0,0,0,0,0,0,0,0,0,0.385923684431572
0.320035835258216,0,0,0.320035835258216,0.320035835258216,0,0,0,0,0,0,0.0613144431998627
0.239191695648815,0,0,0.586029322661442,0,0,0.320035835258216,0,0,0,0,0
0.320035835258216,0.385923684431572,0,0,0,0.153666737777304,0.153666737777304,0,0,0,0,0
0.239191695648815,0,0,0,0,0,0,0,0,0,0,0.153666737777304
0.239191695648815,0.474198374176171,0,0,0,0,0,0,0,0,0,0.153666737777304
0,0,0.385923684431572,0,0,0.239191695648815,0.385923684431572,0,0,0,0,0
0.320035835258216,0,0,0.474198374176171,0,0.0613144431998627,0.320035835258216,0,0,0,0,0
0,0.586029322661442,0,0,0,0,0,0,0.586029322661442,0,0,0
0,0,0,0,0.729604396782703,0,0.320035835258216,0,0.586029322661442,0,0,0
0.729604396782703,0,0,0,0.474198374176171,0,0.153666737777304,0,0.474198374176171,0,0,0
0,0,0,0,0.729604396782703,0,0.320035835258216,0,0.586029322661442,0,0,0
0.729604396782703,0,0,0,0.474198374176171,0,0.153666737777304,0,0.474198374176171,0,0,0
0.729604396782703,0,0,0.0613144431998627,0.474198374176171,0,0.153666737777304,0,0.586029322661442,0,0,0
0.729604396782703,0,0,0.0613144431998627,0.385923684431572,0,0,0,0.586029322661442,0,0,0
0.729604396782703,0,0,0.0613144431998627,0.474198374176171,0,0.153666737777304,0,0.586029322661442,0,0,0
0.729604396782703,0,0,0.0613144431998627,0.474198374176171,0,0.153666737777304,0,0.586029322661442,0,0,0
0.239191695648815,0,0.586029322661442,0,0.0613144431998627,0,0,0,0,0,0,0.153666737777304
0.385923684431572,0,0,0,0.586029322661442,0,0,0,0,0,0,0.0613144431998627
0,0,0,0.586029322661442,0,0,0.385923684431572,0,0,0.0613144431998627,0,0
0.320035835258216,0,0,0.239191695648815,0.474198374176171,0,0.239191695648815,0,0,0,0,0
0.320035835258216,0,0,0,0,0.0613144431998627,0.239191695648815,0,0,0,0,0
0.320035835258216,0.385923684431572,0,0,0,0.153666737777304,0.153666737777304,0,0,0,0,0
0,0,0.239191695648815,0.320035835258216,0,0,0,0,0,0,0,0.385923684431572
0,0,0,0.586029322661442,0,0,0.385923684431572,0,0,0.0613144431998627,0,0
0,0,0,0.586029322661442,0,0,0.385923684431572,0,0,0.0613144431998627,0,0
0,0,0.474198374176171,0,0.153666737777304,0,0,0,0.586029322661442,0,0,0
0,0,0.0613144431998627,0.239191695648815,0.385923684431572,0,0,0,0.729604396782703,0.0613144431998627,0,0
0.320035835258216,0,0,0.239191695648815,0.474198374176171,0,0.239191695648815,0,0,0,0,0
0,0,0,0,0.729604396782703,0,0.320035835258216,0,0,0,0,0.0613144431998627
0.729604396782703,0,0,0.0613144431998627,0.474198374176171,0,0.153666737777304,0,0.586029322661442,0,0,0
0,0,0,0,0.729604396782703,0,0.320035835258216,0,0.586029322661442,0,0,0
0.729604396782703,0,0,0,0.586029322661442,0,0.153666737777304,0,0.474198374176171,0,0,0
0,0,0,0,0.729604396782703,0,0,0,0.474198374176171,0,0,0
0.729604396782703,0,0.385923684431572,0,0,0,0,0,0.586029322661442,0,0,0
0,0,0.586029322661442,0,0,0,0,0,0.729604396782703,0,0,0
0,0.0613144431998627,0.320035835258216,0,0,0,0.320035835258216,0,0.474198374176171,0,0,0
0.385923684431572,0,0,0,0,0,0,0,0,0,0.0613144431998627,0
0,0,0,0.586029322661442,0,0,0.385923684431572,0,0,0.0613144431998627,0,0
0,0,0.385923684431572,0,0,0.239191695648815,0.385923684431572,0,0,0,0,0
0.239191695648815,0,0.586029322661442,0,0.0613144431998627,0,0,0,0,0,0,0.153666737777304
0,0,0,0,0,0.320035835258216,0,0.239191695648815,0,0.0613144431998627,0,0
0,0,0.239191695648815,0.385923684431572,0,0.320035835258216,0,0.239191695648815,0,0.0613144431998627,0,0
0,0,0.385923684431572,0,0,0.239191695648815,0.385923684431572,0,0,0,0,0
0,0,0,0.239191695648815,0.385923684431572,0,0,0,0.729604396782703,0.153666737777304,0,0
