"AGHE.outcome","AGRE.outcome","AMME.outcome","ANAR.outcome","CEME.outcome","CLPU.outcome","ERBO.outcome","ERCI.outcome","EUPE.outcome","GECA.outcome","HECO.outcome","LACA.outcome","LOPU.outcome","LOWR.outcome","MEPO.outcome","NAAT.outcome","PLER.outcome","SACA.outcome"
0,5141.8789375,0,0,0,0,0,0.0250223698827458,0,0,0,0,0,0,0,0,0,0
0,0,0,0,13963.4314375,0,0,0,0,0,0,0,0,2097.7002375,0,0,0,0
0,0,0,0,5141.8789375,0,0,0.0250223698827458,0,0,28305.62,0,0,0,0,0,0,0
0,0,0,0,5141.8789375,0,0,0.0250223698827458,0,0,28305.62,0,0,0,0,0,0,0
2097.7002375,0,0,0,0,0,0,0.0250223698827458,0,0,0,0,0,0,0,0,0,0
0,5141.8789375,0,0,0,0,0,0.0250223698827458,0,0,0,0,0,0,0,0,0,0
0,5141.8789375,0,0,0,0,0,0.0250223698827458,0,0,0,0,0,0,0,0,0,0
2097.7002375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2097.7002375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4.85533365089918e-05,0,0,5141.8789375,0,0,0,0,0,28305.62,0,0,0,0,0,0,0
0,4.85533365089918e-05,0,0,5141.8789375,0,0,0.0250223698827458,0,0,28305.62,0,0,0,0,0,0,0
0,0,0,0,13963.4314375,0,0,0,0,0,0,0,0,2097.7002375,0,0,0,0
2097.7002375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,5141.8789375,0,0,0,0,0,28305.62,0,0,0,0,0,0,0
0,5141.8789375,0,0,0,0,0,0.0250223698827458,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,69.4377113167696,0,0,0,0,0,13963.4314375,0
0,0,0,0,0,0,0,0.0250223698827458,0,0,69.4377113167696,0,0,0,0,0,13963.4314375,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,4.85533365089918e-05,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,4.85533365089918e-05,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,2097.7002375,0,0,0,0,0,13963.4314375,0
0,0,0,0,0,0,0,0,0,0,69.4377113167696,0,0,0,0,0,13963.4314375,0
0,0,0,0,0,0,0,0,0,0,69.4377113167696,0,0,0,0,0,13963.4314375,0
0,0,0,0,0,0,0,0,0,0,69.4377113167696,0,0,0,0,0,13963.4314375,0
0,0,0,0,0,0,0,0.0250223698827458,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,69.4377113167696,0,0,0,0,0,13963.4314375,0
0,0,0,0,0,0,0,4.85533365089918e-05,0,0,69.4377113167696,0,0,0,0,0,13963.4314375,0
0,0,0,0,0,0,0,4.85533365089918e-05,0,0,69.4377113167696,0,0,0,0,0,13963.4314375,0
0,0,0,0,0,0,0,0.0250223698827458,0,0,2097.7002375,0,0,0,0,0,13963.4314375,0
0,0,0,0,0,0,0,0,0,0,69.4377113167696,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,69.4377113167696,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,69.4377113167696,0,0,0,0,0,13963.4314375,0
0,0,0,0,0,0,0,0,0,0,69.4377113167696,0,0,0,0,0,13963.4314375,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,69.4377113167696,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,69.4377113167696,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,69.4377113167696,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,4.85533365089918e-05,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,69.4377113167696,0,0,0,0,0,13963.4314375,0
0,0,0,0,0,0,0,0.0250223698827458,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,2097.7002375,0,0,0,0,0,13963.4314375,0
0,0,0,0,0,0,0,0,0,0,69.4377113167696,0,0,0,0,0,13963.4314375,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0.0250223698827458,0,0,69.4377113167696,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,4.85533365089918e-05,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,4.85533365089918e-05,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,69.4377113167696,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,69.4377113167696,0,0,0,0,0,13963.4314375,0
0,0,0,0,0,0,0,0.0250223698827458,0,0,69.4377113167696,0,0,0,0,0,13963.4314375,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,4.85533365089918e-05,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,4.85533365089918e-05,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0.0250223698827458,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,4.85533365089918e-05,0,0,69.4377113167696,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,69.4377113167696,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,69.4377113167696,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,69.4377113167696,0,0,0,0,0,13963.4314375,0
0,0,0,0,0,0,0,4.85533365089918e-05,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,4.85533365089918e-05,0,0,69.4377113167696,0,0,0,0,0,13963.4314375,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,4.85533365089918e-05,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,4.85533365089918e-05,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,69.4377113167696,0,0,0,0,0,13963.4314375,0
0,0,0,0,0,0,0,0,0,0,69.4377113167696,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0.0250223698827458,0,0,69.4377113167696,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0.0250223698827458,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,4.85533365089918e-05,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,4.85533365089918e-05,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,69.4377113167696,0,0,0,0,0,13963.4314375,0
0,0,0,0,0,0,0,0.0250223698827458,0,0,69.4377113167696,0,0,0,0,0,13963.4314375,0
0,0,0,0,0,0,0,0.0250223698827458,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,4.85533365089918e-05,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,4.85533365089918e-05,0,0,69.4377113167696,0,0,0,0,0,13963.4314375,0
0,0,0,0,0,0,0,0.0250223698827458,0,0,69.4377113167696,0,0,0,0,0,13963.4314375,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0.0250223698827458,0,0,69.4377113167696,0,0,0,0,0,13963.4314375,0
0,0,0,0,0,0,0,0.0250223698827458,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0.0250223698827458,0,0,2097.7002375,0,0,0,0,0,13963.4314375,0
0,0,0,0,0,0,0,0,0,0,2097.7002375,0,0,0,0,0,13963.4314375,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0.0250223698827458,0,0,69.4377113167696,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0.0250223698827458,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,4.85533365089918e-05,0,0,69.4377113167696,0,0,0,0,0,13963.4314375,0
0,0,0,0,0,0,0,0,0,0,69.4377113167696,0,0,0,0,0,13963.4314375,0
0,0,0,0,0,0,0,4.85533365089918e-05,0,0,69.4377113167696,0,0,0,0,0,13963.4314375,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0.0250223698827458,0,0,69.4377113167696,0,0,0,0,0,13963.4314375,0
0,0,0,0,5141.8789375,0,0,0,0,0,28305.62,0,0,0,0,0,0,4.85533365089918e-05
0,0,0,0,0,0,0,0.0250223698827458,0,0,0,0,0,0,0,0,0,13963.4314375
0,5141.8789375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,5141.8789375,0,0,0,0,0,0,0,0,0,0,0,0,5141.8789375
0,2097.7002375,0,0,2097.7002375,0,0,0.0250223698827458,0,0,0,0,0,0,0,0,0,0
0,5141.8789375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,28305.62,0,0,0,0,0,0,2097.7002375
0,0,0,0,0,0,0,0.0250223698827458,0,0,0,0,0,0,0,0,0,13963.4314375
0,2097.7002375,0,0,2097.7002375,0,0,0.0250223698827458,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.0250223698827458,0,0,28305.62,0,0,0,0,0,0,2097.7002375
0,5141.8789375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,28305.62,0,0,0,0,0,0,2097.7002375
0,2097.7002375,0,0,2097.7002375,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2097.7002375,0,0,2097.7002375,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,5141.8789375,0,0,0,0,0,0,0,0,0,0,0,0,5141.8789375
0,4.85533365089918e-05,0,0,5141.8789375,0,0,0,0,0,28305.62,0,0,0,0,0,0,0
0,0,0,0,5141.8789375,0,0,0,0,0,28305.62,0,0,0,0,0,0,4.85533365089918e-05
0,0,0,0,5141.8789375,0,0,0,0,0,28305.62,0,0,0,0,0,0,4.85533365089918e-05
0,0,0,0,5141.8789375,0,0,0.0250223698827458,0,0,28305.62,0,0,0,0,0,0,4.85533365089918e-05
0,0,0,0,0,0,0,0.0250223698827458,0,0,0,0,0,0,0,0,0,13963.4314375
0,4.85533365089918e-05,0,0,5141.8789375,0,0,0,0,0,28305.62,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,28305.62,0,0,0,0,0,0,2097.7002375
0,2097.7002375,0,0,2097.7002375,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,28305.62,0,0,0,0,0,0,2097.7002375
0,4.85533365089918e-05,0,0,5141.8789375,0,0,0.0250223698827458,0,0,28305.62,0,0,0,0,0,0,0
0,0,0,0,5141.8789375,0,0,0.0250223698827458,0,0,28305.62,0,0,0,0,0,0,4.85533365089918e-05
0,0,0,0,5141.8789375,0,0,0,0,0,0,0,0,0,0,0,0,5141.8789375
0,5141.8789375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,5141.8789375,0,0,0,0,0,0,0,0,0,0,0,0,5141.8789375
0,2097.7002375,0,0,2097.7002375,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.0250223698827458,0,0,28305.62,0,0,0,0,0,0,2097.7002375
0,0,0,0,0,0,0,0.0250223698827458,0,0,28305.62,0,0,0,0,0,0,2097.7002375
0,0,0,0,5141.8789375,0,0,0,0,0,28305.62,0,0,0,0,0,0,4.85533365089918e-05
0,0,0,0,5141.8789375,0,0,0,0,0,28305.62,0,0,0,0,0,0,4.85533365089918e-05
0,2097.7002375,0,0,2097.7002375,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,5141.8789375,0,0,0,0,0,0,0,0,0,0,0,0,5141.8789375
0,0,0,0,0,0,0,0.0250223698827458,0,0,28305.62,0,0,0,0,0,0,2097.7002375
0,0,0,0,0,0,0,0,0,0,28305.62,0,0,0,0,0,0,2097.7002375
0,0,0,0,0,0,0,0,0,0,28305.62,0,0,0,0,0,0,2097.7002375
0,0,0,0,0,0,0,0,0,0,28305.62,0,0,0,0,0,0,2097.7002375
0,5141.8789375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,28305.62,0,0,0,0,0,0,2097.7002375
0,0,0,0,0,0,0,0.0250223698827458,0,0,28305.62,0,0,0,0,0,0,2097.7002375
0,0,0,0,5141.8789375,0,0,0.0250223698827458,0,0,28305.62,0,0,0,0,0,0,4.85533365089918e-05
0,0,0,0,0,0,0,0,0,0,28305.62,0,0,0,0,0,0,2097.7002375
0,0,0,0,5141.8789375,0,0,0,0,0,28305.62,0,0,0,0,0,0,4.85533365089918e-05
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13963.4314375
0,0,0,0,5141.8789375,0,0,0.0250223698827458,0,0,0,0,0,0,0,0,0,5141.8789375
0,0,0,0,0,0,0,0,0,0,28305.62,0,0,0,0,0,0,2097.7002375
0,0,0,0,0,0,0,0.0250223698827458,0,0,28305.62,0,0,0,0,0,0,2097.7002375
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,2097.7002375,0,0,0,0,0,13963.4314375,0
0,0,0,0,0,0,0,4.85533365089918e-05,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,4.85533365089918e-05,0,0,2097.7002375,0,0,0,0,0,13963.4314375,0
0,0,0,0,0,0,0,0,0,0,69.4377113167696,0,0,0,0,0,13963.4314375,0
0,0,0,0,0,0,0,4.85533365089918e-05,0,0,2097.7002375,0,0,0,0,0,13963.4314375,0
0,0,0,0,0,0,0,0,0,0,69.4377113167696,0,0,0,0,0,13963.4314375,0
0,0,0,0,0,0,0,4.85533365089918e-05,0,0,69.4377113167696,0,0,0,0,0,13963.4314375,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0.0250223698827458,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,4.85533365089918e-05,0,0,69.4377113167696,0,0,0,0,0,13963.4314375,0
0,0,0,0,0,0,0,0,0,0,2097.7002375,0,0,0,0,0,13963.4314375,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,4.85533365089918e-05,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,69.4377113167696,0,0,0,0,0,13963.4314375,0
0,0,0,0,0,0,0,0.0250223698827458,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,4.85533365089918e-05,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0.0250223698827458,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,4.85533365089918e-05,0,0,2097.7002375,0,0,0,0,0,13963.4314375,0
0,5141.8789375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.0250223698827458,0,0,2097.7002375,0,0,0,0,0,13963.4314375,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,69.4377113167696,0,0,0,0,0,13963.4314375,0
0,0,0,0,0,0,0,4.85533365089918e-05,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,4.85533365089918e-05,0,0,69.4377113167696,0,0,0,0,0,13963.4314375,0
0,0,0,0,0,0,0,0,0,0,5141.8789375,0,0,0,0,0,13963.4314375,0
0,0,0,0,0,0,0,0,0,0,69.4377113167696,0,0,0,0,0,13963.4314375,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,4.85533365089918e-05,0,0,2097.7002375,0,0,0,0,0,13963.4314375,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,69.4377113167696,0,0,0,0,0,13963.4314375,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,4.85533365089918e-05,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,4.85533365089918e-05,0,0,69.4377113167696,0,0,0,0,0,13963.4314375,0
0,0,0,0,0,0,0,4.85533365089918e-05,0,0,69.4377113167696,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,4.85533365089918e-05,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,4.85533365089918e-05,0,0,69.4377113167696,0,0,0,0,0,13963.4314375,0
0,0,0,0,0,0,0,0.0250223698827458,0,0,5141.8789375,0,0,0,0,0,13963.4314375,0
0,5141.8789375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.0250223698827458,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0.0250223698827458,0,0,5141.8789375,0,0,0,0,0,13963.4314375,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0.0250223698827458,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,69.4377113167696,0,0,0,0,0,13963.4314375,0
0,0,0,0,0,0,0,0,0,0,69.4377113167696,0,0,0,0,0,13963.4314375,0
0,0,0,0,0,0,0,4.85533365089918e-05,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,4.85533365089918e-05,0,0,2097.7002375,0,0,0,0,0,13963.4314375,0
0,0,0,0,0,0,0,4.85533365089918e-05,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,2097.7002375,0,0,0,0,0,13963.4314375,0
0,0,0,0,0,0,0,0,0,0,69.4377113167696,0,0,0,0,0,13963.4314375,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,4.85533365089918e-05,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,69.4377113167696,0,0,0,0,0,13963.4314375,0
0,0,0,0,0,0,0,4.85533365089918e-05,0,0,69.4377113167696,0,0,0,0,0,13963.4314375,0
0,0,0,0,0,0,0,4.85533365089918e-05,0,0,69.4377113167696,0,0,0,0,0,13963.4314375,0
0,0,0,0,0,0,0,0,0,0,69.4377113167696,0,0,0,0,0,13963.4314375,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,69.4377113167696,0,0,0,0,0,21699.825,0
0,5141.8789375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,4.85533365089918e-05,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,69.4377113167696,0,0,0,0,0,13963.4314375,0
0,0,0,0,0,0,0,0,0,0,69.4377113167696,0,0,0,0,0,13963.4314375,0
0,0,0,0,0,0,0,4.85533365089918e-05,0,0,69.4377113167696,0,0,0,0,0,13963.4314375,0
0,0,0,0,0,0,0,4.85533365089918e-05,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,4.85533365089918e-05,0,0,2097.7002375,0,0,0,0,0,13963.4314375,0
0,0,0,0,0,0,0,4.85533365089918e-05,0,0,69.4377113167696,0,0,0,0,0,13963.4314375,0
0,0,0,0,0,0,0,4.85533365089918e-05,0,0,69.4377113167696,0,0,0,0,0,13963.4314375,0
