"AGHE.outcome","AGRE.outcome","AMME.outcome","ANAR.outcome","CEME.outcome","CLPU.outcome","ERBO.outcome","ERCI.outcome","EUPE.outcome","GECA.outcome","HECO.outcome","LACA.outcome","LOPU.outcome","LOWR.outcome","MEPO.outcome","NAAT.outcome","PLER.outcome","SACA.outcome"
0,0,0,0,4848.29075,0,0,0.0070857954125,0,0,28296.58,0,0,0,0,0,0,0
0,0,0,0,4848.29075,0,0,0.0070857954125,0,0,28296.58,0,0,0,0,0,0,0
0,2142.75845,0,0,2142.75845,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4848.29075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2142.75845,0,0,2142.75845,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4.430066542705e-05,0,0,4848.29075,0,0,0,0,0,28296.58,0,0,0,0,0,0,0
0,0,0,0,4848.29075,0,0,0.0070857954125,0,0,28296.58,0,0,0,0,0,0,0
0,0,0,0,4848.29075,0,0,0.0070857954125,0,0,28296.58,0,0,0,0,0,0,0
2142.75845,0,0,0,0,0,0,0.0070857954125,0,0,0,0,0,0,0,0,0,0
0,4.430066542705e-05,0,0,4848.29075,0,0,0.0070857954125,0,0,28296.58,0,0,0,0,0,0,0
0,4848.29075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2142.75845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,4848.29075,0,0,0,0,0,28296.58,0,0,0,0,0,0,0
0,2142.75845,0,0,2142.75845,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2142.75845,0,0,2142.75845,0,0,69.678491495,0,0,0,0,0,0,0,0,0,0
0,2142.75845,0,0,0,0,0,69.678491495,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,2142.75845,0,0,0,0
0,2142.75845,0,0,2142.75845,0,0,0.0070857954125,0,0,0,0,0,0,0,0,0,0
0,4.430066542705e-05,0,0,4848.29075,0,0,0.0070857954125,0,0,28296.58,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,2142.75845,0,0,0,0
0,4.430066542705e-05,0,0,4848.29075,0,0,0.0070857954125,0,0,28296.58,0,0,0,0,0,0,0
0,0,0,0,4848.29075,0,0,0.0070857954125,0,0,28296.58,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0.0070857954125,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0.0070857954125,0,0,69.678491495,0,0,0,0,0,13625.04375,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0.0070857954125,0,0,69.678491495,0,0,0,0,0,13625.04375,0
0,0,0,0,0,0,0,0.0070857954125,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0.0070857954125,0,0,69.678491495,0,0,0,0,0,13625.04375,0
0,0,0,0,0,0,0,4.430066542705e-05,0,0,69.678491495,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,69.678491495,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0.0070857954125,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,4.430066542705e-05,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,4.430066542705e-05,0,0,69.678491495,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,69.678491495,0,0,0,0,0,13625.04375,0
0,0,0,0,0,0,0,4.430066542705e-05,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,4.430066542705e-05,0,0,69.678491495,0,0,0,0,0,13625.04375,0
0,0,0,0,0,0,0,0,0,0,69.678491495,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0.0070857954125,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,4.430066542705e-05,0,0,69.678491495,0,0,0,0,0,13625.04375,0
0,0,0,0,0,0,0,4.430066542705e-05,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0.0070857954125,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0.0070857954125,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,4.430066542705e-05,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,4.430066542705e-05,0,0,69.678491495,0,0,0,0,0,13625.04375,0
0,0,0,0,0,0,0,0,0,0,69.678491495,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0.0070857954125,0,0,69.678491495,0,0,0,0,0,13625.04375,0
0,0,0,0,0,0,0,0,0,0,69.678491495,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,69.678491495,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,69.678491495,0,0,0,0,0,13625.04375,0
0,0,0,0,0,0,0,0.0070857954125,0,0,69.678491495,0,0,0,0,0,13625.04375,0
0,0,0,0,0,0,0,0,0,0,69.678491495,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0.0070857954125,0,0,69.678491495,0,0,0,0,0,13625.04375,0
0,0,0,0,0,0,0,0.0070857954125,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0.0070857954125,0,0,69.678491495,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,4.430066542705e-05,0,0,69.678491495,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,69.678491495,0,0,0,0,0,13625.04375,0
0,0,0,0,0,0,0,4.430066542705e-05,0,0,69.678491495,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,69.678491495,0,0,0,0,0,13625.04375,0
0,0,0,0,0,0,0,0.0070857954125,0,0,69.678491495,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0.0070857954125,0,0,69.678491495,0,0,0,0,0,13625.04375,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0.0070857954125,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,4.430066542705e-05,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0.0070857954125,0,0,69.678491495,0,0,0,0,0,13625.04375,0
0,0,0,0,0,0,0,0.0070857954125,0,0,69.678491495,0,0,0,0,0,13625.04375,0
0,0,0,0,0,0,0,0.0070857954125,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,69.678491495,0,0,0,0,0,13625.04375,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0.0070857954125,0,0,69.678491495,0,0,0,0,0,13625.04375,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0.0070857954125,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,4.430066542705e-05,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0.0070857954125,0,0,69.678491495,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0.0070857954125,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,69.678491495,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,4.430066542705e-05,0,0,69.678491495,0,0,0,0,0,13625.04375,0
0,0,0,0,0,0,0,4.430066542705e-05,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0.0070857954125,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,4848.29075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,4848.29075,0,0,0.0070857954125,0,0,0,0,0,0,0,0,0,4848.29075
0,0,0,0,0,0,0,0.0070857954125,0,0,28296.58,0,0,0,0,0,0,2142.75845
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13625.04375
0,4.430066542705e-05,0,0,4848.29075,0,0,0.0070857954125,0,0,28296.58,0,0,0,0,0,0,0
0,0,0,0,4848.29075,0,0,0,0,0,28296.58,0,0,0,0,0,0,4.430066542705e-05
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13625.04375
0,0,0,0,4848.29075,0,0,0,0,0,0,0,0,0,0,0,0,4848.29075
0,0,0,0,4848.29075,0,0,0,0,0,0,0,0,0,0,0,0,4848.29075
0,2142.75845,0,0,2142.75845,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.0070857954125,0,0,28296.58,0,0,0,0,0,0,2142.75845
0,0,0,0,0,0,0,0,0,0,28296.58,0,0,0,0,0,0,2142.75845
0,0,0,0,0,0,0,0.0070857954125,0,0,28296.58,0,0,0,0,0,0,2142.75845
0,0,0,0,4848.29075,0,0,0,0,0,0,0,0,0,0,0,0,4848.29075
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13625.04375
0,0,0,0,4848.29075,0,0,0.0070857954125,0,0,28296.58,0,0,0,0,0,0,4.430066542705e-05
0,4.430066542705e-05,0,0,4848.29075,0,0,0.0070857954125,0,0,28296.58,0,0,0,0,0,0,0
0,0,0,0,4848.29075,0,0,0,0,0,0,0,0,0,0,0,0,4848.29075
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13625.04375
0,0,0,0,4848.29075,0,0,0,0,0,28296.58,0,0,0,0,0,0,4.430066542705e-05
0,0,0,0,0,0,0,0.0070857954125,0,0,28296.58,0,0,0,0,0,0,2142.75845
0,0,0,0,0,0,0,0.0070857954125,0,0,0,0,0,0,0,0,0,13625.04375
0,4.430066542705e-05,0,0,4848.29075,0,0,0.0070857954125,0,0,28296.58,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13625.04375
0,4.430066542705e-05,0,0,4848.29075,0,0,0,0,0,28296.58,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.0070857954125,0,0,28296.58,0,0,0,0,0,0,2142.75845
0,4.430066542705e-05,0,0,4848.29075,0,0,0.0070857954125,0,0,28296.58,0,0,0,0,0,0,0
0,4848.29075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13625.04375
0,4.430066542705e-05,0,0,4848.29075,0,0,0,0,0,28296.58,0,0,0,0,0,0,0
0,4.430066542705e-05,0,0,4848.29075,0,0,0,0,0,28296.58,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13625.04375
0,2142.75845,0,0,2142.75845,0,0,69.678491495,0,0,0,0,0,0,0,0,0,0
0,2142.75845,0,0,2142.75845,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4848.29075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,28296.58,0,0,0,0,0,0,2142.75845
0,0,0,0,4848.29075,0,0,0,0,0,28296.58,0,0,0,0,0,0,4.430066542705e-05
0,2142.75845,0,0,0,0,0,69.678491495,0,0,0,0,0,0,0,0,0,0
0,0,0,0,4848.29075,0,0,0.0070857954125,0,0,28296.58,0,0,0,0,0,0,4.430066542705e-05
0,4.430066542705e-05,0,0,4848.29075,0,0,0.0070857954125,0,0,28296.58,0,0,0,0,0,0,0
0,0,0,0,4848.29075,0,0,0,0,0,0,0,0,0,0,0,0,4848.29075
0,0,0,0,4848.29075,0,0,0,0,0,0,0,0,0,0,0,0,4848.29075
0,2142.75845,0,0,0,0,0,69.678491495,0,0,0,0,0,0,0,0,0,0
0,4.430066542705e-05,0,0,4848.29075,0,0,0,0,0,28296.58,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,28296.58,0,0,0,0,0,0,2142.75845
0,2142.75845,0,0,0,0,0,69.678491495,0,0,0,0,0,0,0,0,0,0
0,0,0,0,4848.29075,0,0,0.0070857954125,0,0,0,0,0,0,0,0,0,4848.29075
0,4.430066542705e-05,0,0,4848.29075,0,0,0,0,0,28296.58,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,28296.58,0,0,0,0,0,0,2142.75845
0,2142.75845,0,0,2142.75845,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4.430066542705e-05,0,0,4848.29075,0,0,0,0,0,28296.58,0,0,0,0,0,0,0
0,4.430066542705e-05,0,0,4848.29075,0,0,0.0070857954125,0,0,28296.58,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13625.04375
0,4848.29075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4848.29075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4.430066542705e-05,0,0,4848.29075,0,0,0,0,0,28296.58,0,0,0,0,0,0,0
0,4.430066542705e-05,0,0,4848.29075,0,0,0.0070857954125,0,0,28296.58,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,28296.58,0,0,0,0,0,0,2142.75845
0,0,0,0,4848.29075,0,0,0,0,0,0,0,0,0,0,0,0,4848.29075
0,4.430066542705e-05,0,0,4848.29075,0,0,0,0,0,28296.58,0,0,0,0,0,0,0
0,0,0,0,4848.29075,0,0,0.0070857954125,0,0,28296.58,0,0,0,0,0,0,4.430066542705e-05
0,0,0,0,4848.29075,0,0,0.0070857954125,0,0,28296.58,0,0,0,0,0,0,4.430066542705e-05
0,0,0,0,0,0,0,0.0070857954125,0,0,2142.75845,0,0,0,0,0,13625.04375,0
0,0,0,0,0,0,0,0,0,0,69.678491495,0,0,0,0,0,13625.04375,0
0,0,0,0,0,0,0,4.430066542705e-05,0,0,69.678491495,0,0,0,0,0,13625.04375,0
0,0,0,0,0,0,0,0,0,0,2142.75845,0,0,0,0,0,13625.04375,0
0,0,0,0,0,0,0,0,0,0,69.678491495,0,0,0,0,0,13625.04375,0
0,0,0,0,0,0,0,0,0,0,13625.04375,0,0,0,0,0,13625.04375,0
0,0,0,0,0,0,0,4.430066542705e-05,0,0,69.678491495,0,0,0,0,0,13625.04375,0
0,0,0,0,0,0,0,4.430066542705e-05,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,4848.29075,0,0,0,0,0,13625.04375,0
0,0,0,0,0,0,0,4.430066542705e-05,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,69.678491495,0,0,0,0,0,13625.04375,0
0,0,0,0,0,0,0,0.0070857954125,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,2142.75845,0,0,0,0,0,13625.04375,0
0,0,0,0,0,0,0,0.0070857954125,0,0,69.678491495,0,0,0,0,0,13625.04375,0
0,0,0,0,0,0,0,4.430066542705e-05,0,0,69.678491495,0,0,0,0,0,13625.04375,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,4.430066542705e-05,0,0,69.678491495,0,0,0,0,0,13625.04375,0
0,0,0,0,0,0,0,0.0070857954125,0,0,69.678491495,0,0,0,0,0,13625.04375,0
0,0,0,0,0,0,0,4.430066542705e-05,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,4848.29075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,2142.75845,0,0,0,0,0,13625.04375,0
0,0,0,0,0,0,0,4.430066542705e-05,0,0,2142.75845,0,0,0,0,0,13625.04375,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,69.678491495,0,0,0,0,0,13625.04375,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,69.678491495,0,0,0,0,0,13625.04375,0
0,0,0,0,0,0,0,4.430066542705e-05,0,0,2142.75845,0,0,0,0,0,13625.04375,0
0,0,0,0,0,0,0,0.0070857954125,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,2142.75845,0,0,0,0,0,13625.04375,0
0,0,0,0,0,0,0,4.430066542705e-05,0,0,69.678491495,0,0,0,0,0,13625.04375,0
0,0,0,0,0,0,0,4.430066542705e-05,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0.0070857954125,0,0,13625.04375,0,0,0,0,0,13625.04375,0
0,0,0,0,0,0,0,4.430066542705e-05,0,0,69.678491495,0,0,0,0,0,13625.04375,0
0,0,0,0,0,0,0,0,0,0,2142.75845,0,0,0,0,0,13625.04375,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0.0070857954125,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0.0070857954125,0,0,0,0,0,0,0,0,21699.825,0
0,4848.29075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,69.678491495,0,0,0,0,0,13625.04375,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,4.430066542705e-05,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,4.430066542705e-05,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,4.430066542705e-05,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,4.430066542705e-05,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0.0070857954125,0,0,2142.75845,0,0,0,0,0,13625.04375,0
0,0,0,0,0,0,0,4.430066542705e-05,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,69.678491495,0,0,0,0,0,13625.04375,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,69.678491495,0,0,0,0,0,13625.04375,0
0,0,0,0,0,0,0,4.430066542705e-05,0,0,69.678491495,0,0,0,0,0,13625.04375,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,2142.75845,0,0,0,0,0,69.678491495,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,69.678491495,0,0,0,0,0,13625.04375,0
0,0,0,0,0,0,0,4.430066542705e-05,0,0,2142.75845,0,0,0,0,0,13625.04375,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,4.430066542705e-05,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0.0070857954125,0,0,13625.04375,0,0,0,0,0,13625.04375,0
0,0,0,0,0,0,0,0,0,0,69.678491495,0,0,0,0,0,13625.04375,0
0,0,0,0,0,0,0,4.430066542705e-05,0,0,0,0,0,0,0,0,21699.825,0
0,2142.75845,0,0,0,0,0,69.678491495,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,69.678491495,0,0,0,0,0,13625.04375,0
0,0,0,0,0,0,0,0,0,0,69.678491495,0,0,0,0,0,13625.04375,0
0,0,0,0,0,0,0,0.0070857954125,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,4.430066542705e-05,0,0,69.678491495,0,0,0,0,0,13625.04375,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.825,0
0,0,0,0,0,0,0,0.0070857954125,0,0,69.678491495,0,0,0,0,0,13625.04375,0
0,0,0,0,0,0,0,4.430066542705e-05,0,0,2142.75845,0,0,0,0,0,13625.04375,0
0,0,0,0,0,0,0,4.430066542705e-05,0,0,0,0,0,0,0,0,21699.825,0
