"AGHE.outcome","AGRE.outcome","AMME.outcome","ANAR.outcome","CEME.outcome","CLPU.outcome","ERBO.outcome","ERCI.outcome","EUPE.outcome","GECA.outcome","HECO.outcome","LACA.outcome","LOPU.outcome","LOWR.outcome","MEPO.outcome","NAAT.outcome","PLER.outcome","SACA.outcome"
0,0,0,0,0,0,0,0,0,0,65.5188640358375,0,0,0,0,0,21699.82375,0
0,0,0,0,0,0,0,0,0,0,2138.6051875,0,0,0,0,0,13595.28625,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.82375,0
0,0,0,0,0,0,0,0.0004732440175,0,0,65.5188640358375,0,0,0,0,0,13595.28625,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.82375,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.82375,0
0,0,0,0,0,0,0,0,0,0,65.5188640358375,0,0,0,0,0,21699.82375,0
0,0,0,0,0,0,0,4.6708432901988e-05,0,0,0,0,0,0,0,0,21699.82375,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.82375,0
0,0,0,0,0,0,0,4.6708432901988e-05,0,0,65.5188640358375,0,0,0,0,0,13595.28625,0
0,0,0,0,0,0,0,0,0,0,2138.6051875,0,0,0,0,0,13595.28625,0
0,0,0,0,0,0,0,0,0,0,65.5188640358375,0,0,0,0,0,21699.82375,0
0,0,0,0,0,0,0,4.6708432901988e-05,0,0,0,0,0,0,0,0,21699.82375,0
0,0,0,0,0,0,0,4.6708432901988e-05,0,0,0,0,0,0,0,0,21699.82375,0
0,0,0,0,0,0,0,4.6708432901988e-05,0,0,0,0,0,0,0,0,21699.82375,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.82375,0
0,0,0,0,0,0,0,0,0,0,28305.57,0,0,0,0,0,0,2138.6051875
0,2138.6051875,0,0,2138.6051875,0,0,65.5188640358375,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,28305.57,0,0,0,0,0,0,2138.6051875
0,0,0,0,4818.53425,0,0,0.0004732440175,0,0,0,0,0,0,0,0,0,4818.53425
0,0,0,0,4818.53425,0,0,0,0,0,28305.57,0,0,0,0,0,0,4.6708432901988e-05
0,0,0,0,0,0,0,0,0,0,28305.57,0,0,0,0,0,0,2138.6051875
0,0,0,0,4818.53425,0,0,0.0004732440175,0,0,0,0,0,0,0,0,0,4818.53425
0,0,0,0,4818.53425,0,0,0.0004732440175,0,0,28305.57,0,0,0,0,0,0,4.6708432901988e-05
0,0,0,0,0,0,0,0.0004732440175,0,0,0,0,0,0,0,0,0,13595.28625
0,4818.53425,0,0,0,0,0,65.5188640358375,0,0,0,0,0,0,0,0,0,0
0,4.6708432901988e-05,0,0,4818.53425,0,0,0,0,0,28305.57,0,0,0,0,0,0,0
0,4818.53425,0,0,0,0,0,65.5188640358375,0,0,0,0,0,0,0,0,0,0
0,4.6708432901988e-05,0,0,4818.53425,0,0,0,0,0,28305.57,0,0,0,0,0,0,0
0,2138.6051875,0,0,2138.6051875,0,0,65.5188640358375,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13595.28625
0,0,0,0,4818.53425,0,0,0.0004732440175,0,0,0,0,0,0,0,0,0,4818.53425
0,0,0,0,0,0,0,4.6708432901988e-05,0,0,2138.6051875,0,0,0,0,0,13595.28625,0
0,0,0,0,0,0,0,0.0004732440175,0,0,13595.28625,0,0,0,0,0,13595.28625,0
0,2138.6051875,0,0,0,0,0,65.5188640358375,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,13595.28625,0,0,0,0,0,13595.28625,0
0,0,0,0,0,0,0,0.0004732440175,0,0,65.5188640358375,0,0,0,0,0,13595.28625,0
0,0,0,0,0,0,0,4.6708432901988e-05,0,0,2138.6051875,0,0,0,0,0,13595.28625,0
0,0,0,0,0,0,0,4.6708432901988e-05,0,0,65.5188640358375,0,0,0,0,0,21699.82375,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.82375,0
0,0,0,0,0,0,0,4.6708432901988e-05,0,0,0,0,0,0,0,0,21699.82375,0
0,0,0,0,0,0,0,4.6708432901988e-05,0,0,0,0,0,0,0,0,21699.82375,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.82375,0
0,0,0,0,0,0,0,4.6708432901988e-05,0,0,2138.6051875,0,0,0,0,0,13595.28625,0
0,0,0,0,0,0,0,0,0,0,65.5188640358375,0,0,0,0,0,13595.28625,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.82375,0
0,0,0,0,0,0,0,0,0,0,2138.6051875,0,0,0,0,0,13595.28625,0
0,0,0,0,0,0,0,4.6708432901988e-05,0,0,0,0,0,0,0,0,21699.82375,0
0,0,0,0,0,0,0,0.0004732440175,0,0,2138.6051875,0,0,0,0,0,13595.28625,0
0,0,0,0,0,0,0,0.0004732440175,0,0,0,0,0,0,0,0,21699.82375,0
0,0,0,0,0,0,0,0.0004732440175,0,0,0,0,0,0,0,0,21699.82375,0
0,0,0,0,0,0,0,4.6708432901988e-05,0,0,65.5188640358375,0,0,0,0,0,21699.82375,0
