"Tetra.outcome","Colp.outcome","Dexio.outcome","Loxo.outcome","Para.outcome","Spiro.outcome"
0,0,0,0,0,0
0,0.0513014074957963,0,0,0,0
0,0.0217615472030183,0,0,0,0
0,0.00815335280964001,7.72471097731757e-05,0.00647805446704326,0.0213426068104243,0.0289426545417243
0,0.0278647054714485,0.00042820409491378,0.013203687609619,0.0651921730753405,0.0124172398745994
0,0.0092837978821138,3.7137906793147e-05,0.00820907138404342,0.0443862848025637,0.00143384673048906
0,0,0.0114425863912732,0,0,0
0,0,0.00818461607813202,0,0,0
0,0,0.0137694090843705,0,0,0
0,0,0,0.10387794287887,0,0
0,0,0,0.114971487500058,0,0
0,0,0,0.156660437900645,0,0
0,0,0,0,0,0
0,0,0,0,0.00814110445418432,0
0,0,0,0,0.020969263121051,0
0.000176020070631707,0,0,0,0,0
0.00222858522730717,0,0,0,0,0
0.000705405588636292,0,0,0,0,0
0.00228616865606087,0.0177670559127105,0,0.0170313750795314,0.130195702913983,0
0.002383197,0.001290502,5.707246e-05,0,0.002004631,0
0,1.887509e-05,0,0.002415557,0.006361908,0
0.005006208,0.003849387,0.0005563101,0.03908249,0,0.02712742
0.0008788092,0.04113642,0.000225513,0.01954131,0,0.1449823
0.0009074184,0.0137103,0.001437746,0.02101441,0,0.03288018
0.002258112,0.003810721,0,0.02347173,0.1094487,0.03656431
0.0006642603,0.0003893097,0,0.004049399,0.01249979,0.00699534
0,0.001452704,0,0.003719213,0.00570224,0.01319688
0.0009561233,0,0.0003719168,0.006439332,0.04633706,0.08032011
0.005995904,0,0.003512065,0.01255877,0.06166619,0.006062622
0.001376573,0,0.0003731772,0.02659914,0.02594018,0.05892613
