"Tetra.outcome","Colp.outcome","Dexio.outcome","Loxo.outcome","Para.outcome","Spiro.outcome"
0,0.0317244029636638,0.00603900486377453,0,0,0
0,0.0362974081791147,0.00391547137059301,0,0,0
0,0.0532078171325358,0.00193502501362241,0,0,0
0,0.013533689390483,6.27638460905893e-05,0.00737199030727512,0.0615898018555655,0.0390396868005266
0,0.00789848351680988,0.000171862048940701,0.00869138831777936,0.030991171473335,0.0132745260461657
0,0.0093230328138368,0.000266568340024488,0.00420431210931274,0.00318835897721882,0.00631251608252093
0,0.0187903796105792,0.000985960631614714,0.00355482562407443,0,0.0543184340734131
0,0.0459123018698592,0.00289536382348461,0.026496824054609,0,0.135576252143348
0,0.0237793771932478,0.00229604694665865,0.0203094881873199,0,0.0401904714598509
0,0.00857181973721124,0.000487565455996592,0,0.00196704228525908,0
0,0.00516660089316417,0.00249021518946931,0,0.0141109167304173,0
0,0.0503958734565413,0.00127341517621381,0,0.0213484244790574,0
0,0,0.000630525676488877,0.00831231325296346,0.0992531769235192,0.0763669697463262
0,0,0.0011567465160218,0.0147105400364433,0.0466457193715184,0.0402699422885574
0,0,0.00157252894670008,0.0112095915140646,0.0518871870155745,0.0365600915553386
0,0.00451438815037514,0,0,0.00418857885468488,0.00239589494464833
0,0.0514229548851779,0,0,0.05454385571836,0.0534235884726822
0,0.0437116826761008,0,0,0.0109963762182558,0.0580015882283649
0.004056347,0.04476827,0.001222299,0,0,0.02823213
0.0001713155,0.04613189,0.0008963589,0,0,0.01386263
0.002108745,0.01381164,0.001121862,0,0,0.1088443
0,0.01284295,0,0.0001579814,0.03104387,0.03274426
0.0002209625,0.01137178,0,0.007756845,0.003819981,0.0004911892
0.005016437,0.01374985,0,0.01405621,0.02117096,0
0.00650685,0,0.02028045,0,0,0
0.03543529,0,0.01872529,0,0,0
0.01466594,0,0.01979118,0,0,0
0.0009561233,0,0.0003719168,0.006439332,0.04633706,0.08032011
0.0003970192,0,0.0003314403,0.008517594,0.03851551,0.01384121
0.003647391,0,0.001196948,0.00722425,0.08692114,0.030988
