"Tetra.outcome","Colp.outcome","Dexio.outcome","Loxo.outcome","Para.outcome","Spiro.outcome"
0,0.0180803650081144,0,0,0,0
0,0,0,0,0,0
0,0.0522458425894001,0,0,0,0
0,0.0278647054714485,0.00042820409491378,0.013203687609619,0.0651921730753405,0.0124172398745994
0,0.00618966553982466,5.9035929975828e-05,0.00322649812812368,0.0285144373776671,0.00981183668484122
0,0.0093230328138368,0.000266568340024488,0.00420431210931274,0.00318835897721882,0.00631251608252093
0,0,0,0.118233739065651,0,0
0,0,0,0.0200908209807342,0,0
0,0,0,0.157406693371792,0,0
0,0,0,0,0,0
0,0,0,0,0,0.0213950032668794
0,0,0,0,0,0.0332198664180196
0.00222858522730717,0,0,0,0,0
0,0,0,0,0,0
0.00155082891053399,0,0,0,0,0
7.63388230125119e-05,0.0141706918014936,0.000449710946479898,0.00186952670812056,0.017187641229503,0
0.002383197,0.001290502,5.707246e-05,0,0.002004631,0
0.00228616865606087,0.0177670559127105,0,0.0170313750795314,0.130195702913983,0
0.005006208,0.003849387,0.0005563101,0.03908249,0,0.02712742
0.0008573703,0.02960373,0.0003768045,0.02090806,0,0.06093829
0.0008788092,0.04113642,0.000225513,0.01954131,0,0.1449823
6.432494e-05,0.002997733,2.204941e-05,0,0.001441742,0.04457173
4.448299e-05,0.002118265,0.0006333728,0,0.003930808,0.03777655
0,0.02471423,2.026097e-05,0,0.01214327,0.01149263
0.0005097532,0.04777189,0,0.01360093,0.05133895,0.04133877
0,0.01284295,0,0.0001579814,0.03104387,0.03274426
0.002258112,0.003810721,0,0.02347173,0.1094487,0.03656431
0.005207087,0,0.006875664,0.05460668,0.02259756,0.03060802
0.003647391,0,0.001196948,0.00722425,0.08692114,0.030988
0.0005064498,0,0.0002270431,0.01586053,0.01556514,0.05808582
